FIR_Number,Accused_Age,Accused_Gender,Accused_Occupation,Recidivist_Flag,Victim_Age,Victim_Gender
FIR-104/2025-2922,57,Male,Unemployed,No,31,Female
FIR-497/2026-d93d,25,Unknown,Student,Yes,31,Male
FIR-575/2025-9f0b,53,Female,Private Employee,No,47,Male
FIR-218/2026-1dbc,55,Male,Business,Yes,59,Female
FIR-255/2026-170c,60,Male,Laborer,Yes,46,Female
FIR-316/2025-221c,59,Male,Business,No,47,Male
FIR-738/2025-3bd8,34,Unknown,Student,No,68,Male
FIR-222/2025-e7e9,54,Male,Private Employee,No,61,Female
FIR-750/2025-7d7a,29,Male,Laborer,No,59,Male
FIR-464/2025-65a9,44,Male,Unemployed,No,35,Female
FIR-376/2026-951d,19,Female,Unemployed,No,66,Female
FIR-155/2026-1ccc,40,Male,Laborer,Yes,28,Female
FIR-787/2025-102f,35,Male,Student,No,50,Male
FIR-554/2025-0575,58,Male,Unemployed,No,34,Male
FIR-812/2025-59d1,54,Male,Laborer,No,46,Female
FIR-381/2025-c2ce,56,Male,Business,No,54,Male
FIR-741/2026-c30e,28,Female,Student,No,54,Male
FIR-604/2026-c1a2,27,Male,Business,No,53,Male
FIR-223/2026-6d7b,24,Male,Private Employee,Yes,36,Male
FIR-224/2026-2915,58,Male,Business,No,67,Male
FIR-338/2026-f877,39,Male,Unemployed,No,48,Male
FIR-984/2025-6380,22,Female,Student,No,21,Male
FIR-331/2026-e026,33,Male,Laborer,No,45,Female
FIR-429/2026-e0bd,41,Male,Student,No,45,Female
FIR-287/2025-e0e5,46,Male,Unemployed,Yes,51,Female
FIR-618/2026-d339,40,Male,Unemployed,Yes,26,Female
FIR-827/2025-4ec9,23,Male,Laborer,No,24,Male
FIR-307/2025-bc33,35,Male,Business,No,21,Female
FIR-785/2025-534f,26,Male,Student,No,17,Female
FIR-808/2025-6c76,54,Male,Business,No,41,Male
FIR-150/2025-0fe2,31,Female,Laborer,Yes,48,Female
FIR-875/2026-a09e,31,Male,Student,Yes,31,Female
FIR-862/2026-190f,19,Male,Unemployed,No,26,Male
FIR-996/2025-b9b4,49,Male,Private Employee,No,45,Female
FIR-408/2025-d6dd,25,Female,Business,No,58,Female
FIR-260/2026-d90a,59,Male,Private Employee,No,30,Female
FIR-324/2026-419c,47,Female,Unemployed,Yes,36,Female
FIR-195/2026-af66,27,Male,Business,Yes,25,Female
FIR-875/2025-c571,29,Male,Business,No,49,Male
FIR-319/2025-2a2d,28,Male,Student,Yes,36,Male
FIR-175/2025-5ded,52,Male,Business,No,17,Male
FIR-856/2025-ecac,50,Male,Private Employee,No,31,Male
FIR-791/2025-6421,40,Male,Private Employee,No,55,Male
FIR-619/2025-7c1a,54,Male,Private Employee,Yes,17,Female
FIR-750/2025-7744,60,Male,Private Employee,No,65,Female
FIR-855/2025-8153,46,Female,Business,Yes,68,Female
FIR-841/2025-2cba,52,Male,Unemployed,No,37,Male
FIR-838/2025-d739,20,Male,Private Employee,No,11,Male
FIR-254/2025-20d6,37,Female,Business,Yes,30,Female
FIR-449/2026-5906,28,Male,Laborer,No,51,Male
FIR-691/2026-e6e2,27,Male,Private Employee,No,20,Male
FIR-917/2026-3f59,22,Male,Student,Yes,56,Female
FIR-556/2026-20d4,45,Male,Student,Yes,26,Female
FIR-526/2025-06aa,32,Female,Laborer,No,66,Female
FIR-390/2025-727d,38,Male,Laborer,No,50,Male
FIR-141/2025-a3b2,29,Male,Student,Yes,37,Female
FIR-800/2025-6ca9,20,Male,Private Employee,No,38,Female
FIR-200/2025-94f8,34,Male,Laborer,No,43,Male
FIR-690/2026-f927,18,Male,Business,No,15,Female
FIR-610/2026-19d1,37,Male,Student,No,28,Male
FIR-338/2026-f872,43,Male,Laborer,No,46,Female
FIR-142/2026-8b17,40,Unknown,Student,Yes,47,Female
FIR-846/2026-ee2b,42,Female,Student,No,30,Male
FIR-756/2025-ffad,54,Unknown,Student,Yes,65,Male
FIR-583/2026-70ad,52,Male,Student,No,40,Female
FIR-411/2025-6daf,39,Male,Business,No,49,Male
FIR-124/2026-6099,48,Male,Student,No,29,Male
FIR-535/2025-d1d4,59,Male,Business,No,33,Female
FIR-784/2025-a314,23,Male,Private Employee,No,11,Male
FIR-977/2026-c37e,34,Male,Laborer,No,65,Female
FIR-358/2025-c30e,28,Male,Unemployed,No,58,Male
FIR-251/2026-5096,19,Male,Private Employee,No,42,Male
FIR-293/2025-c297,56,Male,Laborer,No,64,Male
FIR-179/2026-b1d1,18,Male,Laborer,No,18,Female
FIR-612/2025-29aa,22,Male,Laborer,No,54,Female
FIR-164/2026-14cf,58,Male,Laborer,No,10,Male
FIR-554/2025-8a69,29,Male,Business,No,33,Male
FIR-471/2026-f7d7,31,Male,Laborer,No,17,Female
FIR-146/2026-76b6,60,Male,Laborer,No,33,Female
FIR-246/2026-7c96,49,Unknown,Private Employee,No,17,Male
FIR-568/2025-5d73,34,Male,Student,No,61,Male
FIR-260/2025-6f89,49,Male,Unemployed,Yes,39,Male
FIR-900/2025-cb03,33,Male,Business,No,54,Female
FIR-274/2026-6347,42,Male,Laborer,No,31,Male
FIR-165/2025-a31b,25,Male,Business,Yes,16,Female
FIR-164/2025-87bb,33,Male,Student,No,31,Male
FIR-248/2025-5af9,46,Male,Student,Yes,59,Female
FIR-795/2025-e0d0,49,Male,Unemployed,Yes,19,Female
FIR-752/2025-5ea1,41,Male,Student,Yes,66,Female
FIR-135/2025-9f6c,50,Male,Laborer,Yes,50,Male
FIR-882/2025-3f87,54,Male,Student,Yes,34,Male
FIR-429/2026-9fc7,27,Male,Business,No,35,Female
FIR-302/2026-7737,31,Male,Private Employee,No,58,Female
FIR-196/2025-708d,33,Male,Laborer,No,22,Female
FIR-405/2026-1969,54,Male,Laborer,No,63,Male
FIR-585/2025-1b7e,50,Male,Student,No,62,Female
FIR-904/2026-04ad,20,Male,Private Employee,No,41,Male
FIR-883/2026-b356,60,Male,Laborer,Yes,33,Male
FIR-283/2026-54d4,21,Male,Business,Yes,32,Male
FIR-851/2026-dfd6,56,Male,Unemployed,No,14,Female
FIR-995/2026-3e36,40,Male,Laborer,No,38,Male
FIR-454/2025-022c,54,Male,Student,No,15,Male
FIR-824/2026-1040,22,Male,Laborer,No,21,Female
FIR-306/2026-507e,29,Male,Student,No,44,Female
FIR-511/2025-006a,55,Male,Private Employee,Yes,36,Male
FIR-366/2026-2a7a,47,Male,Private Employee,Yes,11,Male
FIR-136/2026-9ad6,37,Male,Unemployed,No,30,Male
FIR-559/2025-583a,55,Male,Private Employee,No,59,Female
FIR-248/2026-e4e2,57,Male,Laborer,No,33,Female
FIR-936/2026-6693,42,Male,Laborer,No,31,Female
FIR-179/2026-eb9a,40,Male,Laborer,No,18,Female
FIR-913/2025-b25c,40,Male,Private Employee,No,32,Male
FIR-573/2026-f6e0,53,Male,Private Employee,No,53,Female
FIR-883/2025-fc4e,58,Male,Business,No,65,Female
FIR-447/2025-cf39,58,Female,Student,Yes,32,Male
FIR-599/2025-01be,38,Male,Unemployed,No,56,Female
FIR-343/2026-9a6c,32,Female,Private Employee,No,22,Male
FIR-658/2025-e6a5,29,Male,Unemployed,Yes,34,Male
FIR-752/2025-6350,50,Male,Laborer,Yes,50,Female
FIR-801/2026-c73c,27,Male,Business,No,42,Female
FIR-298/2026-3a5f,40,Male,Laborer,No,38,Male
FIR-959/2026-40f3,45,Female,Student,No,22,Male
FIR-838/2026-d88d,59,Male,Student,Yes,35,Female
FIR-130/2026-cc9a,29,Male,Unemployed,Yes,37,Female
FIR-429/2026-dade,58,Male,Student,No,29,Female
FIR-535/2026-ea71,33,Male,Student,No,56,Female
FIR-177/2025-d570,38,Male,Private Employee,No,19,Male
FIR-136/2026-920b,36,Male,Laborer,No,40,Male
FIR-156/2025-fe2b,55,Male,Laborer,No,50,Male
FIR-800/2026-25a6,20,Male,Student,Yes,54,Female
FIR-465/2026-f5aa,20,Female,Student,No,70,Female
FIR-219/2025-ec71,50,Female,Business,No,34,Male
FIR-520/2025-8a34,26,Female,Unemployed,No,47,Female
FIR-184/2026-ad83,33,Male,Laborer,Yes,36,Female
FIR-176/2026-8675,48,Male,Business,No,46,Female
FIR-471/2025-21ba,53,Male,Student,No,13,Female
FIR-531/2026-7d98,41,Male,Student,Yes,34,Male
FIR-553/2025-02bc,24,Male,Student,Yes,34,Female
FIR-690/2026-5eca,56,Male,Business,No,41,Male
FIR-664/2025-dbe2,34,Female,Unemployed,Yes,65,Male
FIR-499/2025-06a2,31,Male,Student,Yes,30,Female
FIR-704/2025-8112,58,Male,Private Employee,No,22,Male
FIR-288/2026-d412,32,Male,Laborer,No,51,Male
FIR-277/2025-4441,22,Male,Student,Yes,68,Female
FIR-761/2026-6dfd,38,Male,Private Employee,Yes,39,Male
FIR-626/2026-1128,50,Male,Business,Yes,57,Male
FIR-837/2025-84f9,49,Male,Student,No,20,Female
FIR-655/2025-7230,52,Male,Private Employee,Yes,65,Male
FIR-478/2026-877e,42,Female,Private Employee,Yes,35,Male
FIR-160/2025-4393,47,Male,Student,No,67,Female
FIR-516/2025-aebf,44,Male,Laborer,No,65,Female
FIR-968/2025-e28c,33,Male,Laborer,No,57,Male
FIR-374/2025-4c68,38,Male,Private Employee,Yes,12,Female
FIR-684/2026-c590,30,Male,Private Employee,No,50,Male
FIR-950/2026-a4e4,41,Male,Business,No,42,Male
FIR-358/2025-7250,37,Male,Student,No,42,Male
FIR-744/2025-63cd,22,Male,Private Employee,Yes,62,Female
FIR-483/2025-849a,22,Male,Laborer,No,54,Female
FIR-552/2026-9f61,34,Female,Unemployed,Yes,22,Female
FIR-136/2026-19b3,56,Female,Private Employee,No,18,Male
FIR-598/2025-b505,36,Unknown,Unemployed,No,67,Female
FIR-994/2025-7ff3,27,Male,Student,No,35,Male
FIR-424/2026-2777,27,Male,Private Employee,No,15,Male
FIR-346/2025-b37a,55,Male,Student,Yes,33,Male
FIR-649/2026-4bdc,51,Male,Student,No,19,Male
FIR-993/2026-a480,39,Male,Business,No,33,Female
FIR-914/2025-937d,18,Unknown,Private Employee,Yes,55,Male
FIR-366/2026-6075,33,Male,Private Employee,No,44,Female
FIR-174/2026-cc51,55,Male,Laborer,Yes,62,Female
FIR-477/2025-d404,48,Male,Business,No,44,Male
FIR-323/2025-e4c0,49,Female,Private Employee,No,46,Male
FIR-158/2025-cd1e,32,Male,Unemployed,No,34,Female
FIR-677/2026-c345,46,Male,Business,No,13,Female
FIR-662/2026-ecc5,42,Male,Student,Yes,11,Female
FIR-284/2025-b13c,18,Female,Student,No,66,Female
FIR-965/2025-6253,60,Male,Private Employee,No,24,Male
FIR-539/2025-6789,26,Male,Unemployed,Yes,41,Male
FIR-273/2026-3e63,20,Male,Laborer,No,26,Female
FIR-840/2026-6d42,48,Male,Student,No,33,Female
FIR-159/2026-b407,38,Male,Laborer,No,57,Female
FIR-758/2026-2b76,29,Male,Unemployed,No,41,Female
FIR-828/2026-80fa,37,Male,Private Employee,No,43,Female
FIR-482/2026-947a,19,Male,Laborer,No,20,Male
FIR-680/2025-bd9d,51,Female,Laborer,No,23,Female
FIR-580/2025-7295,59,Male,Laborer,No,10,Male
FIR-346/2025-3afb,46,Male,Business,No,16,Male
FIR-543/2025-69f9,57,Male,Private Employee,No,34,Female
FIR-126/2025-8463,20,Male,Laborer,No,18,Female
FIR-574/2025-7c04,59,Male,Private Employee,No,38,Male
FIR-269/2025-831b,21,Male,Business,Yes,46,Male
FIR-120/2026-652b,38,Male,Student,No,36,Male
FIR-375/2025-7a6b,47,Male,Private Employee,No,58,Female
FIR-752/2026-e2e4,28,Male,Private Employee,Yes,23,Male
FIR-508/2025-b1fb,57,Male,Unemployed,No,46,Female
FIR-606/2025-894a,26,Male,Private Employee,Yes,67,Female
FIR-597/2025-72ad,52,Male,Business,No,19,Male
FIR-117/2025-bab3,36,Male,Unemployed,No,40,Female
FIR-884/2025-c8eb,39,Male,Unemployed,No,43,Female
FIR-665/2025-bab9,60,Male,Laborer,No,63,Male
FIR-302/2025-44f2,57,Male,Laborer,No,47,Female
FIR-447/2026-58b0,27,Unknown,Business,No,66,Female
FIR-253/2025-0124,60,Male,Business,No,15,Female
FIR-636/2026-39bd,56,Male,Laborer,No,46,Male
FIR-571/2026-90f2,43,Male,Laborer,Yes,16,Male
FIR-393/2026-16b6,39,Male,Laborer,No,10,Female
FIR-188/2025-8182,33,Male,Student,No,67,Female
FIR-173/2025-5b5c,19,Male,Business,Yes,68,Male
FIR-417/2026-b10a,50,Male,Student,Yes,28,Female
FIR-996/2026-05c6,19,Male,Unemployed,No,24,Female
FIR-864/2026-42c5,48,Male,Student,No,54,Female
FIR-504/2025-b0f6,28,Male,Business,Yes,12,Female
FIR-233/2026-aa2a,34,Male,Unemployed,No,13,Male
FIR-896/2025-4473,36,Male,Student,Yes,35,Male
FIR-658/2025-d810,58,Male,Private Employee,No,22,Female
FIR-378/2025-e0be,48,Unknown,Business,Yes,28,Male
FIR-528/2026-3d5b,23,Male,Unemployed,No,17,Female
FIR-419/2025-ea3c,40,Male,Unemployed,No,60,Male
FIR-432/2025-7b1f,29,Male,Laborer,No,12,Male
FIR-661/2026-6ccc,53,Male,Business,No,37,Female
FIR-857/2025-edcb,54,Male,Business,No,64,Male
FIR-284/2026-cdd6,45,Male,Laborer,Yes,31,Male
FIR-628/2025-c60f,19,Male,Business,Yes,36,Female
FIR-780/2026-bbc9,43,Male,Private Employee,No,64,Male
FIR-311/2025-120e,44,Male,Business,No,64,Female
FIR-592/2025-dd78,40,Male,Business,No,28,Female
FIR-537/2025-c880,32,Unknown,Student,No,16,Male
FIR-678/2026-1dbd,48,Female,Business,Yes,27,Male
FIR-125/2026-5196,30,Female,Private Employee,No,68,Male
FIR-698/2025-45a8,19,Male,Unemployed,Yes,67,Female
FIR-468/2026-7ab6,38,Male,Private Employee,No,65,Female
FIR-315/2025-21c5,45,Male,Private Employee,Yes,12,Male
FIR-739/2025-6d6d,37,Male,Business,No,11,Female
FIR-361/2026-627d,56,Male,Student,No,59,Female
FIR-574/2026-7645,19,Male,Business,No,40,Female
FIR-561/2026-4f3c,30,Male,Business,Yes,16,Female
FIR-787/2026-f63f,31,Female,Private Employee,No,56,Female
FIR-334/2026-c7bf,24,Male,Business,Yes,61,Female
FIR-626/2026-73d4,23,Female,Private Employee,No,22,Male
FIR-187/2025-72e9,56,Male,Unemployed,No,18,Male
FIR-358/2025-3563,49,Male,Private Employee,No,43,Male
FIR-341/2025-d3df,45,Male,Laborer,No,16,Female
FIR-902/2025-fb9f,37,Male,Unemployed,No,33,Female
FIR-205/2026-6dcf,55,Male,Laborer,No,64,Male
FIR-803/2026-966d,19,Male,Unemployed,No,17,Male
FIR-885/2026-105d,35,Male,Student,No,53,Female
FIR-368/2026-b07b,43,Female,Private Employee,No,24,Female
FIR-713/2025-3362,33,Female,Business,Yes,33,Female
FIR-609/2026-afc2,44,Male,Laborer,No,14,Male
FIR-916/2026-0a39,52,Male,Unemployed,Yes,36,Female
FIR-577/2026-a531,43,Male,Business,No,65,Male
FIR-549/2026-c507,20,Male,Laborer,No,66,Female
FIR-363/2025-dda5,39,Male,Business,No,48,Male
FIR-457/2026-762c,37,Male,Unemployed,Yes,43,Female
FIR-146/2026-ec45,49,Male,Private Employee,No,65,Female
FIR-522/2025-12aa,43,Male,Private Employee,No,12,Female
FIR-263/2025-b508,43,Male,Laborer,Yes,24,Male
FIR-887/2026-3464,39,Male,Student,No,57,Male
FIR-447/2025-f1c4,31,Male,Business,No,67,Male
FIR-960/2025-2b89,20,Female,Student,No,34,Male
FIR-116/2025-bf18,20,Male,Laborer,No,56,Female
FIR-863/2025-304e,29,Male,Student,No,48,Female
FIR-360/2025-4b97,20,Male,Business,Yes,60,Male
FIR-127/2026-dda4,54,Female,Private Employee,Yes,26,Female
FIR-108/2026-3f24,23,Male,Student,No,21,Female
FIR-353/2026-15cd,59,Male,Unemployed,No,15,Male
FIR-461/2025-cbcd,38,Male,Student,Yes,69,Female
FIR-436/2025-3462,34,Female,Student,No,20,Female
FIR-224/2025-af39,44,Male,Student,No,65,Male
FIR-567/2026-f3c3,24,Male,Student,No,35,Male
FIR-943/2025-29e2,43,Male,Private Employee,No,12,Male
FIR-199/2025-93e7,41,Male,Private Employee,No,49,Female
FIR-817/2026-6de4,27,Male,Unemployed,No,12,Male
FIR-862/2026-e033,36,Male,Student,No,41,Female
FIR-722/2025-80c0,53,Male,Laborer,No,37,Male
FIR-703/2025-35b4,33,Male,Laborer,No,24,Female
FIR-675/2025-0e6f,37,Male,Student,No,38,Male
FIR-976/2025-0244,35,Male,Business,Yes,28,Male
FIR-122/2026-e0d1,27,Male,Laborer,No,69,Female
FIR-242/2025-a83c,35,Male,Student,No,36,Female
FIR-400/2026-6126,53,Male,Unemployed,No,67,Male
FIR-386/2025-43ff,52,Male,Business,Yes,50,Female
FIR-454/2026-39c4,31,Male,Student,Yes,28,Male
FIR-456/2026-383d,24,Male,Private Employee,No,57,Male
FIR-522/2026-c35e,51,Male,Laborer,No,19,Female
FIR-216/2025-e3c5,53,Male,Unemployed,Yes,27,Female
FIR-646/2026-c00a,43,Male,Business,No,25,Female
FIR-395/2026-9253,26,Male,Business,Yes,30,Female
FIR-720/2025-78bc,18,Male,Laborer,No,34,Male
FIR-516/2026-74d5,24,Male,Business,No,23,Male
FIR-825/2026-8644,49,Male,Business,Yes,16,Male
FIR-469/2025-55dd,53,Male,Unemployed,No,28,Female
FIR-456/2025-be19,34,Male,Student,Yes,25,Male
FIR-289/2026-2faf,52,Unknown,Student,No,39,Female
FIR-876/2025-169f,56,Male,Unemployed,No,43,Male
FIR-205/2026-d042,51,Male,Business,No,46,Male
FIR-644/2026-9c0e,25,Male,Unemployed,No,31,Female
FIR-299/2026-a405,31,Male,Private Employee,No,20,Female
FIR-233/2025-2f47,40,Male,Private Employee,No,51,Male
FIR-906/2025-ec35,54,Female,Laborer,No,49,Female
FIR-987/2025-2c6d,28,Male,Private Employee,No,62,Male
FIR-636/2025-1be3,32,Male,Student,Yes,53,Female
FIR-668/2026-11b4,34,Female,Business,No,52,Male
FIR-871/2026-210b,57,Male,Laborer,Yes,21,Male
FIR-267/2026-f321,50,Male,Unemployed,Yes,58,Female
FIR-972/2025-d90d,58,Male,Unemployed,No,54,Male
FIR-578/2025-8618,46,Unknown,Unemployed,No,43,Male
FIR-396/2025-b2fd,36,Male,Private Employee,No,65,Female
FIR-176/2025-0b6c,42,Female,Business,Yes,54,Male
FIR-327/2025-4918,27,Unknown,Laborer,No,55,Male
FIR-406/2025-d3a1,41,Male,Laborer,Yes,65,Female
FIR-771/2026-be7e,44,Male,Student,Yes,49,Female
FIR-516/2025-c998,55,Male,Unemployed,No,58,Female
FIR-538/2026-27ed,53,Male,Private Employee,No,24,Male
FIR-624/2025-03f9,23,Female,Private Employee,No,70,Male
FIR-226/2025-51ec,20,Male,Laborer,Yes,22,Male
FIR-550/2025-6ffd,39,Male,Business,Yes,56,Female
FIR-135/2025-a46e,39,Male,Business,No,57,Female
FIR-397/2026-1f77,33,Male,Business,No,25,Male
FIR-479/2026-9e60,33,Male,Laborer,No,32,Male
FIR-628/2025-7f0a,39,Female,Laborer,No,48,Female
FIR-576/2026-12f9,58,Male,Private Employee,Yes,51,Male
FIR-449/2026-8a78,22,Female,Student,No,62,Female
FIR-386/2025-b6b8,31,Male,Laborer,Yes,43,Male
FIR-940/2025-9063,43,Male,Unemployed,Yes,42,Female
FIR-485/2025-9c71,33,Male,Unemployed,No,19,Female
FIR-524/2025-cb4d,33,Male,Laborer,No,26,Female
FIR-254/2026-6633,34,Male,Unemployed,No,33,Male
FIR-688/2025-06cd,51,Male,Private Employee,No,23,Female
FIR-892/2026-7bd0,40,Male,Business,No,39,Female
FIR-576/2025-996e,43,Male,Business,Yes,67,Male
FIR-980/2025-f5fb,26,Male,Unemployed,No,20,Male
FIR-623/2025-0f4e,56,Male,Business,Yes,45,Male
FIR-114/2026-5ca8,29,Male,Private Employee,No,12,Male
FIR-847/2026-9cdb,58,Male,Private Employee,Yes,17,Male
FIR-917/2026-86ac,57,Male,Student,No,38,Female
FIR-344/2026-c866,46,Male,Private Employee,No,56,Female
FIR-783/2025-8154,51,Male,Unemployed,No,49,Female
FIR-400/2025-979b,31,Male,Unemployed,Yes,53,Female
FIR-967/2026-107a,20,Male,Business,No,51,Female
FIR-107/2025-8837,46,Male,Private Employee,No,69,Female
FIR-731/2025-e9dd,20,Male,Laborer,No,25,Male
FIR-178/2026-7572,19,Female,Student,No,69,Female
FIR-587/2026-f807,48,Male,Private Employee,No,11,Male
FIR-354/2026-c5f6,26,Female,Student,No,35,Male
FIR-616/2025-0993,55,Male,Student,No,69,Female
FIR-786/2026-5c91,54,Male,Laborer,No,39,Female
FIR-926/2025-7d25,19,Male,Unemployed,No,57,Female
FIR-671/2025-da9c,19,Male,Student,Yes,66,Male
FIR-245/2026-8804,40,Male,Student,No,34,Male
FIR-949/2025-9e44,38,Male,Unemployed,Yes,40,Male
FIR-759/2026-c007,51,Male,Unemployed,Yes,21,Male
FIR-447/2025-4c77,46,Male,Laborer,Yes,31,Male
FIR-977/2026-c01d,51,Male,Private Employee,No,36,Male
FIR-570/2026-e218,29,Male,Student,No,40,Female
FIR-166/2025-d44f,34,Male,Student,No,60,Male
FIR-332/2025-9e60,40,Male,Private Employee,Yes,14,Female
FIR-277/2025-199c,43,Male,Private Employee,No,50,Female
FIR-110/2026-7d79,58,Unknown,Business,Yes,62,Female
FIR-272/2025-2e41,56,Male,Student,No,63,Male
FIR-138/2025-d3f0,39,Female,Unemployed,Yes,27,Female
FIR-316/2026-ba4b,26,Male,Laborer,Yes,25,Male
FIR-288/2026-97de,18,Female,Business,Yes,15,Male
FIR-345/2025-9282,34,Male,Unemployed,No,62,Female
FIR-956/2026-d1ad,52,Female,Private Employee,Yes,20,Male
FIR-853/2025-2f3c,52,Male,Private Employee,No,48,Male
FIR-257/2026-55e8,57,Male,Student,No,32,Female
FIR-404/2025-f42c,39,Male,Business,Yes,32,Male
FIR-725/2026-3f28,52,Male,Student,No,56,Male
FIR-629/2025-eae2,57,Male,Business,No,43,Female
FIR-242/2025-8d09,39,Male,Laborer,No,36,Male
FIR-754/2026-be8c,57,Female,Student,Yes,58,Female
FIR-683/2026-cd2e,35,Male,Private Employee,No,54,Male
FIR-910/2026-3e80,18,Female,Student,Yes,55,Female
FIR-628/2026-5c0b,57,Male,Student,No,25,Male
FIR-186/2026-1118,32,Male,Student,Yes,21,Male
FIR-212/2026-9c79,33,Male,Business,Yes,11,Male
FIR-832/2025-7af7,38,Male,Business,Yes,17,Male
FIR-687/2025-e419,33,Male,Private Employee,Yes,64,Male
FIR-640/2025-9680,56,Male,Business,No,15,Female
FIR-769/2026-7031,20,Male,Laborer,Yes,56,Female
FIR-715/2025-6bb2,35,Unknown,Unemployed,Yes,46,Female
FIR-200/2025-bd1d,21,Male,Laborer,No,67,Female
FIR-472/2026-7637,48,Unknown,Student,Yes,15,Female
FIR-953/2025-dfea,50,Male,Business,No,11,Female
FIR-689/2025-7617,52,Male,Private Employee,No,17,Female
FIR-318/2026-1e6f,19,Male,Business,Yes,57,Female
FIR-573/2025-2414,23,Male,Unemployed,No,35,Female
FIR-804/2026-1693,56,Male,Student,Yes,69,Female
FIR-824/2025-f178,42,Male,Private Employee,No,70,Male
FIR-980/2026-d9c0,41,Female,Laborer,Yes,42,Male
FIR-181/2026-59bd,39,Male,Student,No,56,Male
FIR-990/2025-d349,24,Male,Private Employee,No,57,Male
FIR-989/2026-f1b8,40,Male,Unemployed,No,43,Male
FIR-371/2026-5057,59,Male,Private Employee,No,63,Male
FIR-641/2026-0dda,37,Male,Student,No,62,Male
FIR-891/2025-8e0a,43,Male,Student,No,68,Female
FIR-569/2026-072b,19,Male,Laborer,No,26,Female
FIR-268/2026-ffd6,41,Male,Laborer,No,14,Female
FIR-812/2025-a40c,46,Male,Business,No,57,Female
FIR-594/2026-8ef6,29,Male,Private Employee,No,16,Female
FIR-146/2025-e3c8,60,Male,Laborer,No,16,Male
FIR-284/2025-503d,57,Male,Unemployed,Yes,36,Male
FIR-310/2026-1d47,38,Male,Student,Yes,51,Male
FIR-822/2025-3196,60,Male,Business,Yes,18,Male
FIR-381/2025-e573,37,Male,Unemployed,No,38,Male
FIR-443/2025-81d1,40,Male,Unemployed,No,31,Female
FIR-455/2026-2b7e,57,Male,Laborer,No,12,Female
FIR-228/2025-391a,22,Male,Unemployed,No,15,Female
FIR-486/2026-6b09,45,Male,Business,Yes,65,Female
FIR-401/2025-7a68,46,Male,Student,No,65,Female
FIR-247/2025-d3e0,33,Male,Business,No,52,Male
FIR-571/2026-2d46,22,Male,Business,No,58,Male
FIR-364/2026-719e,48,Male,Private Employee,No,56,Male
FIR-706/2026-b6de,26,Male,Laborer,No,14,Female
FIR-298/2025-1bcc,34,Male,Unemployed,No,19,Female
FIR-523/2026-fc54,48,Male,Laborer,No,33,Male
FIR-855/2025-47f1,33,Male,Student,Yes,54,Male
FIR-304/2026-1938,37,Male,Student,Yes,10,Female
FIR-515/2026-ce74,55,Male,Unemployed,No,26,Male
FIR-836/2025-2332,30,Female,Unemployed,No,47,Male
FIR-920/2025-164c,34,Male,Private Employee,No,18,Male
FIR-387/2025-797f,28,Male,Student,No,19,Male
FIR-574/2026-d025,30,Male,Unemployed,No,50,Female
FIR-777/2026-d365,44,Male,Unemployed,Yes,16,Female
FIR-514/2025-b993,59,Male,Unemployed,Yes,32,Male
FIR-412/2026-452e,43,Male,Business,No,37,Male
FIR-126/2025-5f66,53,Male,Private Employee,No,17,Male
FIR-109/2026-8104,24,Male,Laborer,No,13,Female
FIR-154/2026-5fca,38,Male,Business,No,21,Male
FIR-170/2025-9438,52,Male,Student,No,14,Female
FIR-803/2026-a6b3,58,Female,Laborer,No,39,Female
FIR-996/2025-7d0d,59,Male,Private Employee,No,41,Male
FIR-411/2026-6544,32,Male,Laborer,Yes,69,Female
FIR-354/2025-e5c9,23,Male,Unemployed,No,15,Female
FIR-112/2025-1d87,49,Male,Business,Yes,54,Female
FIR-180/2025-9800,47,Male,Laborer,No,14,Female
FIR-164/2026-a73f,34,Male,Student,Yes,53,Male
FIR-461/2026-7cd7,38,Male,Unemployed,No,23,Male
FIR-407/2026-91f3,57,Male,Business,No,48,Female
FIR-120/2026-3141,35,Male,Private Employee,Yes,18,Female
FIR-142/2026-445d,43,Male,Laborer,Yes,35,Male
FIR-636/2025-4514,30,Male,Private Employee,No,21,Female
FIR-574/2026-d519,19,Male,Student,Yes,66,Female
FIR-559/2025-54a6,24,Male,Laborer,Yes,18,Female
FIR-297/2026-c16a,55,Male,Business,No,40,Male
FIR-912/2025-4a22,29,Male,Laborer,No,45,Female
FIR-708/2026-43a7,32,Male,Laborer,No,11,Female
FIR-719/2026-11f7,30,Male,Student,No,67,Female
FIR-963/2026-779b,40,Male,Private Employee,Yes,64,Male
FIR-955/2025-e7aa,24,Male,Business,No,55,Female
FIR-831/2026-220d,57,Male,Unemployed,No,64,Female
FIR-987/2025-cc50,54,Male,Laborer,Yes,49,Male
FIR-269/2026-c6a1,33,Male,Private Employee,No,14,Male
FIR-754/2026-7c81,27,Male,Private Employee,No,60,Male
FIR-365/2025-9424,20,Male,Student,No,21,Male
FIR-907/2025-82c8,45,Male,Business,Yes,23,Female
FIR-791/2025-4e71,45,Male,Unemployed,No,16,Female
FIR-750/2026-9b81,30,Male,Student,No,57,Female
FIR-308/2026-2547,37,Female,Unemployed,No,30,Female
FIR-350/2025-62cf,59,Female,Student,No,49,Male
FIR-447/2026-a1ba,38,Male,Unemployed,Yes,44,Female
FIR-167/2025-9d8f,41,Female,Laborer,No,62,Male
