FIR_Number,Crime_Head,Applicable_Law,Section,MO_Description
FIR-396/2025-dd1c,Cheating,BNS 2023,104,Promised a job and took advance money in Hubballi Town PS
FIR-602/2025-03bf,POCSO,BNS 2023,351,Harassed minor in the neighborhood of Kuvempunagar PS
FIR-409/2025-0c4d,NDPS,BNS 2023,356,Smuggling synthetic drugs in a hidden compartment near Saraswathipuram PS
FIR-533/2025-5371,Cheating,BNS 2023,224,Sold fake property documents to victim in Tilakwadi PS
FIR-998/2025-dff5,POCSO,BNS 2023,349,Groomed minor over social media
FIR-584/2026-ce39,Cheating,BNS 2023,245,Chit fund scam defrauding multiple investors in Malleswaram PS
FIR-654/2025-742f,Cheating,BNS 2023,214,Sold fake property documents to victim in Belagavi Camp PS
FIR-788/2025-d619,Cyber Crime,BNS 2023,265,Sent phishing link offering fake loan
FIR-474/2026-2558,Murder,BNS 2023,209,Stabbed after a drunken brawl in Malleswaram PS
FIR-284/2025-2a8a,NDPS,BNS 2023,378,Smuggling synthetic drugs in a hidden compartment near Dharwad Suburban PS
FIR-119/2026-e341,Robbery,BNS 2023,342,Snatched gold chain while victim was walking near Vidyanagar PS
FIR-893/2026-a837,NDPS,BNS 2023,393,Caught selling marijuana packets near college in Vidyanagar PS
FIR-165/2025-8a31,NDPS,BNS 2023,387,Smuggling synthetic drugs in a hidden compartment near Saraswathipuram PS
FIR-185/2026-4fdf,POCSO,BNS 2023,123,Groomed minor over social media
FIR-356/2026-0f2c,Theft,BNS 2023,343,Stole copper wires from a construction site in Malleswaram PS
FIR-207/2026-4d4f,Cyber Crime,BNS 2023,121,Sent phishing link offering fake loan
FIR-357/2026-9de5,Cyber Crime,BNS 2023,332,Sent phishing link offering fake loan
FIR-509/2026-fd13,POCSO,BNS 2023,378,Harassed minor in the neighborhood of Kyathasandra PS
FIR-263/2026-e8e7,Cheating,BNS 2023,330,Promised a job and took advance money in Saraswathipuram PS
FIR-812/2025-a714,Cheating,BNS 2023,150,Chit fund scam defrauding multiple investors in Koramangala PS
FIR-789/2025-708a,Robbery,BNS 2023,150,Snatched gold chain while victim was walking near Malleswaram PS
FIR-976/2025-009c,Cheating,BNS 2023,287,Chit fund scam defrauding multiple investors in Belagavi Camp PS
FIR-448/2026-5370,Robbery,BNS 2023,204,Snatched gold chain while victim was walking near Khadebazar PS
FIR-777/2025-98fa,POCSO,BNS 2023,375,Assaulted minor on the way to school near Kuvempunagar PS
FIR-904/2026-10ee,Murder,BNS 2023,377,Stabbed after a drunken brawl in Vidyanagar PS
FIR-975/2025-f584,Theft,BNS 2023,146,Stole parked two-wheeler from Cubbon Park PS
FIR-971/2026-f0f6,POCSO,BNS 2023,326,Assaulted minor on the way to school near Cubbon Park PS
FIR-861/2026-4f4d,NDPS,BNS 2023,238,Smuggling synthetic drugs in a hidden compartment near Kyathasandra PS
FIR-603/2026-6ec7,Cyber Crime,BNS 2023,312,Romance scam on dating app leading to crypto transfer
FIR-703/2026-62a4,NDPS,BNS 2023,160,Caught selling marijuana packets near college in Kuvempunagar PS
FIR-480/2025-0597,Murder,BNS 2023,285,Stabbed after a drunken brawl in Tumakuru Town PS
FIR-698/2025-74bb,Assault,BNS 2023,187,Road rage incident leading to severe injuries near Saraswathipuram PS
FIR-319/2026-0498,POCSO,BNS 2023,152,Groomed minor over social media
FIR-349/2026-2373,Theft,BNS 2023,193,Stole parked two-wheeler from Belagavi Camp PS
FIR-743/2025-f25f,Assault,BNS 2023,240,Road rage incident leading to severe injuries near Saraswathipuram PS
FIR-733/2026-1ee2,Cyber Crime,BNS 2023,219,Sent phishing link offering fake loan
FIR-168/2025-e6cd,Cyber Crime,BNS 2023,261,Romance scam on dating app leading to crypto transfer
FIR-983/2026-bfac,Robbery,BNS 2023,129,Threatened with a knife and stole wallet at Saraswathipuram PS
FIR-380/2026-c9aa,NDPS,BNS 2023,264,Smuggling synthetic drugs in a hidden compartment near Hubballi Town PS
FIR-819/2025-cdf5,POCSO,BNS 2023,110,Assaulted minor on the way to school near Tumakuru Town PS
FIR-144/2026-2c1c,Assault,BNS 2023,129,Group clash using sticks and stones in Dharwad Suburban PS
FIR-421/2025-8d60,Robbery,BNS 2023,353,Broke into house and stole valuables in Saraswathipuram PS
FIR-375/2026-bacb,Cyber Crime,BNS 2023,249,Romance scam on dating app leading to crypto transfer
FIR-746/2026-efd3,NDPS,BNS 2023,380,Found possessing cocaine at a rave party in Koramangala PS
FIR-849/2026-567d,Cheating,BNS 2023,380,Promised a job and took advance money in Tilakwadi PS
FIR-966/2026-fdb7,NDPS,BNS 2023,179,Found possessing cocaine at a rave party in Dharwad Suburban PS
FIR-413/2026-5dd4,Assault,BNS 2023,183,Group clash using sticks and stones in Tumakuru Town PS
FIR-663/2025-53ac,Murder,BNS 2023,392,Stabbed after a drunken brawl in Koramangala PS
FIR-847/2026-921c,Robbery,BNS 2023,129,Broke into house and stole valuables in Dharwad Suburban PS
FIR-363/2025-ded5,Cyber Crime,BNS 2023,168,Sent phishing link offering fake loan
FIR-556/2026-a7e0,Theft,BNS 2023,105,Stole parked two-wheeler from Khadebazar PS
FIR-764/2026-f46e,Assault,BNS 2023,394,Physical altercation over property dispute in Tumakuru Town PS
FIR-170/2026-e52e,POCSO,BNS 2023,262,Harassed minor in the neighborhood of Khadebazar PS
FIR-402/2025-690d,Robbery,BNS 2023,375,Snatched gold chain while victim was walking near Saraswathipuram PS
FIR-821/2026-430c,Theft,BNS 2023,313,Stole parked two-wheeler from Kyathasandra PS
FIR-724/2026-bc25,Robbery,BNS 2023,261,Snatched gold chain while victim was walking near Kuvempunagar PS
FIR-251/2025-3bcf,POCSO,BNS 2023,142,Harassed minor in the neighborhood of Kyathasandra PS
FIR-192/2025-428b,Cheating,BNS 2023,109,Promised a job and took advance money in Dharwad Suburban PS
FIR-382/2026-3109,Robbery,BNS 2023,303,Threatened with a knife and stole wallet at Belagavi Camp PS
FIR-116/2026-b83f,Cheating,BNS 2023,293,Chit fund scam defrauding multiple investors in Tilakwadi PS
FIR-140/2025-68d7,Cheating,BNS 2023,399,Promised a job and took advance money in Tumakuru Town PS
FIR-914/2025-e8d5,Cheating,BNS 2023,368,Promised a job and took advance money in Tumakuru Town PS
FIR-985/2026-be74,Cheating,BNS 2023,118,Chit fund scam defrauding multiple investors in Tilakwadi PS
FIR-112/2026-29bf,Assault,BNS 2023,359,Road rage incident leading to severe injuries near Kuvempunagar PS
FIR-266/2025-3c01,Assault,BNS 2023,218,Physical altercation over property dispute in Vidyanagar PS
FIR-675/2025-157c,NDPS,BNS 2023,221,Caught selling marijuana packets near college in Kuvempunagar PS
FIR-169/2026-4b1f,Assault,BNS 2023,240,Road rage incident leading to severe injuries near Tumakuru Town PS
FIR-547/2025-6414,Robbery,BNS 2023,332,Threatened with a knife and stole wallet at Indiranagar PS
FIR-505/2026-5c15,Cheating,BNS 2023,191,Promised a job and took advance money in Tilakwadi PS
FIR-850/2025-96c8,Cheating,BNS 2023,148,Promised a job and took advance money in Vidyanagar PS
FIR-900/2026-0338,NDPS,BNS 2023,389,Found possessing cocaine at a rave party in Cubbon Park PS
FIR-938/2025-c372,Cheating,BNS 2023,165,Sold fake property documents to victim in Tilakwadi PS
FIR-977/2025-fdc5,POCSO,BNS 2023,387,Harassed minor in the neighborhood of Malleswaram PS
FIR-276/2026-083a,POCSO,BNS 2023,216,Harassed minor in the neighborhood of Kuvempunagar PS
FIR-900/2025-64c9,Cyber Crime,BNS 2023,210,Romance scam on dating app leading to crypto transfer
FIR-557/2026-396c,Cheating,BNS 2023,234,Chit fund scam defrauding multiple investors in Tumakuru Town PS
FIR-915/2026-2a05,Robbery,BNS 2023,388,Snatched gold chain while victim was walking near Belagavi Camp PS
FIR-710/2025-b925,POCSO,BNS 2023,336,Assaulted minor on the way to school near Cubbon Park PS
FIR-516/2025-883e,Assault,BNS 2023,280,Group clash using sticks and stones in Tumakuru Town PS
FIR-296/2026-9573,POCSO,BNS 2023,357,Groomed minor over social media
FIR-799/2026-4650,Theft,BNS 2023,122,Pickpocketed mobile phone at a crowded market in Saraswathipuram PS
FIR-969/2026-7011,Cyber Crime,BNS 2023,315,Sent phishing link offering fake loan
FIR-389/2026-f33e,Cheating,BNS 2023,308,Sold fake property documents to victim in Kyathasandra PS
FIR-779/2025-330c,POCSO,BNS 2023,177,Groomed minor over social media
FIR-369/2026-e468,Cheating,BNS 2023,165,Chit fund scam defrauding multiple investors in Khadebazar PS
FIR-870/2026-237a,Robbery,BNS 2023,254,Snatched gold chain while victim was walking near Tumakuru Town PS
FIR-814/2025-6d0e,Robbery,BNS 2023,129,Threatened with a knife and stole wallet at Dharwad Suburban PS
FIR-164/2025-c01b,Cheating,BNS 2023,359,Promised a job and took advance money in Khadebazar PS
FIR-347/2026-97bd,POCSO,BNS 2023,217,Harassed minor in the neighborhood of Khadebazar PS
FIR-270/2026-deda,Theft,BNS 2023,350,Stole parked two-wheeler from Khadebazar PS
FIR-619/2026-c18c,Theft,BNS 2023,261,Stole parked two-wheeler from Tumakuru Town PS
FIR-291/2026-0d52,Theft,BNS 2023,320,Stole parked two-wheeler from Dharwad Suburban PS
FIR-277/2026-2582,POCSO,BNS 2023,275,Harassed minor in the neighborhood of Saraswathipuram PS
FIR-284/2026-863f,NDPS,BNS 2023,338,Caught selling marijuana packets near college in Dharwad Suburban PS
FIR-616/2026-2a02,NDPS,BNS 2023,175,Found possessing cocaine at a rave party in Vidyanagar PS
FIR-992/2026-edbd,Cyber Crime,BNS 2023,171,Tricked victim into sharing OTP over phone call
FIR-730/2026-66bf,Robbery,BNS 2023,341,Snatched gold chain while victim was walking near Khadebazar PS
FIR-421/2025-d634,Robbery,BNS 2023,154,Broke into house and stole valuables in Cubbon Park PS
FIR-673/2026-d1da,Murder,BNS 2023,331,Attacked with a sharp weapon at night near Devaraja PS
FIR-903/2026-0a49,Robbery,BNS 2023,197,Snatched gold chain while victim was walking near Tumakuru Town PS
FIR-757/2026-8ba6,Assault,BNS 2023,334,Group clash using sticks and stones in Saraswathipuram PS
FIR-491/2025-d108,Assault,BNS 2023,239,Physical altercation over property dispute in Saraswathipuram PS
FIR-880/2025-d24c,Murder,BNS 2023,321,Stabbed after a drunken brawl in Devaraja PS
FIR-897/2026-6b95,POCSO,BNS 2023,133,Groomed minor over social media
FIR-765/2025-df90,Cheating,BNS 2023,175,Sold fake property documents to victim in Saraswathipuram PS
FIR-992/2026-9028,POCSO,BNS 2023,399,Groomed minor over social media
FIR-127/2026-f6d0,Robbery,BNS 2023,204,Snatched gold chain while victim was walking near Cubbon Park PS
FIR-905/2026-7636,Cheating,BNS 2023,222,Sold fake property documents to victim in Kuvempunagar PS
FIR-553/2026-4a39,Theft,BNS 2023,323,Stole parked two-wheeler from Khadebazar PS
FIR-538/2025-1eed,Cyber Crime,BNS 2023,303,Tricked victim into sharing OTP over phone call
FIR-858/2026-8a33,Cheating,BNS 2023,393,Promised a job and took advance money in Indiranagar PS
FIR-614/2026-0f05,POCSO,BNS 2023,120,Assaulted minor on the way to school near Tumakuru Town PS
FIR-178/2026-3c05,POCSO,BNS 2023,346,Groomed minor over social media
FIR-722/2025-b8ae,Assault,BNS 2023,372,Physical altercation over property dispute in Cubbon Park PS
FIR-960/2026-2cf2,Murder,BNS 2023,281,Stabbed after a drunken brawl in Devaraja PS
FIR-615/2025-9b0f,Assault,BNS 2023,315,Road rage incident leading to severe injuries near Khadebazar PS
FIR-185/2025-920d,NDPS,BNS 2023,114,Caught selling marijuana packets near college in Tilakwadi PS
FIR-628/2025-5479,Murder,BNS 2023,347,Stabbed after a drunken brawl in Dharwad Suburban PS
FIR-474/2025-cb9a,Robbery,BNS 2023,207,Broke into house and stole valuables in Dharwad Suburban PS
FIR-890/2025-b9ae,Cheating,BNS 2023,133,Sold fake property documents to victim in Saraswathipuram PS
FIR-329/2026-67be,POCSO,BNS 2023,383,Groomed minor over social media
FIR-114/2025-2b3d,Theft,BNS 2023,329,Stole parked two-wheeler from Belagavi Camp PS
FIR-940/2025-a722,NDPS,BNS 2023,118,Found possessing cocaine at a rave party in Cubbon Park PS
FIR-184/2025-c0b2,NDPS,BNS 2023,107,Smuggling synthetic drugs in a hidden compartment near Tumakuru Town PS
FIR-855/2025-aa61,Assault,BNS 2023,364,Group clash using sticks and stones in Kuvempunagar PS
FIR-497/2026-3897,Theft,BNS 2023,229,Stole copper wires from a construction site in Indiranagar PS
FIR-784/2026-911d,Cyber Crime,BNS 2023,289,Sent phishing link offering fake loan
FIR-759/2025-1da3,Cheating,BNS 2023,233,Chit fund scam defrauding multiple investors in Devaraja PS
FIR-208/2025-063f,NDPS,BNS 2023,396,Found possessing cocaine at a rave party in Hubballi Town PS
FIR-449/2025-4996,Assault,BNS 2023,331,Physical altercation over property dispute in Indiranagar PS
FIR-654/2025-3407,Cyber Crime,BNS 2023,190,Romance scam on dating app leading to crypto transfer
FIR-101/2026-2861,Theft,BNS 2023,247,Stole parked two-wheeler from Dharwad Suburban PS
FIR-123/2025-e6b3,Robbery,BNS 2023,287,Threatened with a knife and stole wallet at Tilakwadi PS
FIR-760/2026-ceaa,Murder,BNS 2023,103,Poisoned during a family dispute at Koramangala PS
FIR-660/2026-1eae,Murder,BNS 2023,177,Poisoned during a family dispute at Kuvempunagar PS
FIR-505/2025-ff7b,Robbery,BNS 2023,386,Snatched gold chain while victim was walking near Hubballi Town PS
FIR-757/2026-ac4f,Cheating,BNS 2023,161,Sold fake property documents to victim in Tilakwadi PS
FIR-918/2025-92fe,Murder,BNS 2023,191,Poisoned during a family dispute at Kyathasandra PS
FIR-592/2025-e836,Theft,BNS 2023,317,Stole copper wires from a construction site in Vidyanagar PS
FIR-856/2025-6050,Robbery,BNS 2023,275,Snatched gold chain while victim was walking near Khadebazar PS
FIR-880/2026-abad,Cheating,BNS 2023,150,Promised a job and took advance money in Kyathasandra PS
FIR-304/2025-5954,Murder,BNS 2023,126,Attacked with a sharp weapon at night near Kyathasandra PS
FIR-264/2025-eabd,Robbery,BNS 2023,156,Broke into house and stole valuables in Tilakwadi PS
FIR-826/2025-13b7,Robbery,BNS 2023,196,Broke into house and stole valuables in Devaraja PS
FIR-255/2026-a93c,Assault,BNS 2023,207,Group clash using sticks and stones in Kyathasandra PS
FIR-421/2026-fcdf,NDPS,BNS 2023,245,Smuggling synthetic drugs in a hidden compartment near Koramangala PS
FIR-583/2025-26c6,POCSO,BNS 2023,245,Assaulted minor on the way to school near Kuvempunagar PS
FIR-833/2025-284f,NDPS,BNS 2023,378,Caught selling marijuana packets near college in Vidyanagar PS
FIR-773/2025-f435,NDPS,BNS 2023,287,Caught selling marijuana packets near college in Dharwad Suburban PS
FIR-826/2026-d5f5,Theft,BNS 2023,175,Stole copper wires from a construction site in Hubballi Town PS
FIR-108/2026-0713,Murder,BNS 2023,376,Attacked with a sharp weapon at night near Tilakwadi PS
FIR-741/2025-dcf8,Assault,BNS 2023,110,Road rage incident leading to severe injuries near Indiranagar PS
FIR-156/2025-7fc4,Cyber Crime,BNS 2023,243,Tricked victim into sharing OTP over phone call
FIR-609/2025-ca2f,Assault,BNS 2023,151,Group clash using sticks and stones in Malleswaram PS
FIR-641/2025-8e75,Murder,BNS 2023,208,Stabbed after a drunken brawl in Cubbon Park PS
FIR-613/2026-3b7f,Cheating,BNS 2023,171,Promised a job and took advance money in Kuvempunagar PS
FIR-327/2025-5554,Robbery,BNS 2023,373,Threatened with a knife and stole wallet at Hubballi Town PS
FIR-905/2025-3a53,Theft,BNS 2023,102,Stole copper wires from a construction site in Tilakwadi PS
FIR-711/2026-6cc1,Cheating,BNS 2023,147,Promised a job and took advance money in Hubballi Town PS
FIR-530/2026-aef4,Theft,BNS 2023,151,Stole copper wires from a construction site in Saraswathipuram PS
FIR-526/2025-c7e1,Murder,BNS 2023,218,Stabbed after a drunken brawl in Saraswathipuram PS
FIR-477/2026-240f,Cyber Crime,BNS 2023,295,Tricked victim into sharing OTP over phone call
FIR-619/2026-e3cc,POCSO,BNS 2023,281,Harassed minor in the neighborhood of Hubballi Town PS
FIR-469/2026-d205,Theft,BNS 2023,310,Pickpocketed mobile phone at a crowded market in Koramangala PS
FIR-403/2026-5c89,NDPS,BNS 2023,219,Caught selling marijuana packets near college in Khadebazar PS
FIR-677/2025-5071,Theft,BNS 2023,131,Pickpocketed mobile phone at a crowded market in Tilakwadi PS
FIR-270/2026-ee28,Robbery,BNS 2023,375,Broke into house and stole valuables in Indiranagar PS
FIR-257/2025-86a9,Robbery,BNS 2023,272,Snatched gold chain while victim was walking near Belagavi Camp PS
FIR-347/2026-b8c1,Assault,BNS 2023,177,Road rage incident leading to severe injuries near Khadebazar PS
FIR-287/2026-c1cb,Cheating,BNS 2023,167,Promised a job and took advance money in Koramangala PS
FIR-301/2025-3032,Theft,BNS 2023,133,Pickpocketed mobile phone at a crowded market in Tilakwadi PS
FIR-737/2026-9d51,Murder,BNS 2023,112,Stabbed after a drunken brawl in Tilakwadi PS
FIR-625/2026-71a0,Cheating,BNS 2023,160,Promised a job and took advance money in Indiranagar PS
FIR-738/2025-6f14,Assault,BNS 2023,175,Group clash using sticks and stones in Kyathasandra PS
FIR-233/2025-efe3,Assault,BNS 2023,367,Physical altercation over property dispute in Tilakwadi PS
FIR-442/2025-0cba,Assault,BNS 2023,194,Road rage incident leading to severe injuries near Cubbon Park PS
FIR-995/2025-90df,Theft,BNS 2023,223,Stole copper wires from a construction site in Tilakwadi PS
FIR-258/2026-ac26,Murder,BNS 2023,231,Stabbed after a drunken brawl in Belagavi Camp PS
FIR-444/2025-6021,Assault,BNS 2023,383,Group clash using sticks and stones in Malleswaram PS
FIR-632/2025-d5aa,Cheating,BNS 2023,128,Sold fake property documents to victim in Malleswaram PS
FIR-868/2026-b9e4,Theft,BNS 2023,274,Stole parked two-wheeler from Belagavi Camp PS
FIR-104/2025-2922,Assault,BNS 2023,190,Road rage incident leading to severe injuries near Tumakuru Town PS
FIR-497/2026-d93d,Theft,BNS 2023,139,Stole parked two-wheeler from Tumakuru Town PS
FIR-575/2025-9f0b,Robbery,BNS 2023,220,Broke into house and stole valuables in Indiranagar PS
FIR-218/2026-1dbc,NDPS,BNS 2023,135,Found possessing cocaine at a rave party in Khadebazar PS
FIR-255/2026-170c,Robbery,BNS 2023,202,Broke into house and stole valuables in Cubbon Park PS
FIR-316/2025-221c,Cyber Crime,BNS 2023,354,Tricked victim into sharing OTP over phone call
FIR-738/2025-3bd8,Cyber Crime,BNS 2023,293,Sent phishing link offering fake loan
FIR-222/2025-e7e9,Robbery,BNS 2023,291,Snatched gold chain while victim was walking near Belagavi Camp PS
FIR-750/2025-7d7a,Theft,BNS 2023,233,Pickpocketed mobile phone at a crowded market in Malleswaram PS
FIR-464/2025-65a9,NDPS,BNS 2023,229,Caught selling marijuana packets near college in Vidyanagar PS
FIR-376/2026-951d,Theft,BNS 2023,372,Stole copper wires from a construction site in Saraswathipuram PS
FIR-155/2026-1ccc,Assault,BNS 2023,188,Road rage incident leading to severe injuries near Belagavi Camp PS
FIR-787/2025-102f,Murder,BNS 2023,375,Attacked with a sharp weapon at night near Devaraja PS
FIR-554/2025-0575,Robbery,BNS 2023,190,Snatched gold chain while victim was walking near Kyathasandra PS
FIR-812/2025-59d1,Robbery,BNS 2023,168,Threatened with a knife and stole wallet at Kuvempunagar PS
FIR-381/2025-c2ce,Cyber Crime,BNS 2023,373,Romance scam on dating app leading to crypto transfer
FIR-741/2026-c30e,POCSO,BNS 2023,240,Groomed minor over social media
FIR-604/2026-c1a2,POCSO,BNS 2023,330,Assaulted minor on the way to school near Koramangala PS
FIR-223/2026-6d7b,Cyber Crime,BNS 2023,243,Romance scam on dating app leading to crypto transfer
FIR-224/2026-2915,Robbery,BNS 2023,117,Broke into house and stole valuables in Kuvempunagar PS
FIR-338/2026-f877,Cyber Crime,BNS 2023,366,Tricked victim into sharing OTP over phone call
FIR-984/2025-6380,Robbery,BNS 2023,333,Broke into house and stole valuables in Vidyanagar PS
FIR-331/2026-e026,NDPS,BNS 2023,328,Smuggling synthetic drugs in a hidden compartment near Dharwad Suburban PS
FIR-429/2026-e0bd,Cyber Crime,BNS 2023,128,Sent phishing link offering fake loan
FIR-287/2025-e0e5,Theft,BNS 2023,184,Stole parked two-wheeler from Koramangala PS
FIR-618/2026-d339,Theft,BNS 2023,127,Stole copper wires from a construction site in Saraswathipuram PS
FIR-827/2025-4ec9,Murder,BNS 2023,290,Stabbed after a drunken brawl in Tumakuru Town PS
FIR-307/2025-bc33,NDPS,BNS 2023,192,Found possessing cocaine at a rave party in Tumakuru Town PS
FIR-785/2025-534f,Theft,BNS 2023,178,Stole copper wires from a construction site in Kyathasandra PS
FIR-808/2025-6c76,Cyber Crime,BNS 2023,353,Tricked victim into sharing OTP over phone call
FIR-150/2025-0fe2,Assault,BNS 2023,350,Group clash using sticks and stones in Dharwad Suburban PS
FIR-875/2026-a09e,POCSO,BNS 2023,304,Harassed minor in the neighborhood of Cubbon Park PS
FIR-862/2026-190f,Cyber Crime,BNS 2023,327,Romance scam on dating app leading to crypto transfer
FIR-996/2025-b9b4,Robbery,BNS 2023,382,Threatened with a knife and stole wallet at Tilakwadi PS
FIR-408/2025-d6dd,Cheating,BNS 2023,278,Chit fund scam defrauding multiple investors in Indiranagar PS
FIR-260/2026-d90a,Theft,BNS 2023,123,Stole parked two-wheeler from Tilakwadi PS
FIR-324/2026-419c,Assault,BNS 2023,224,Physical altercation over property dispute in Koramangala PS
FIR-195/2026-af66,Murder,BNS 2023,384,Attacked with a sharp weapon at night near Belagavi Camp PS
FIR-875/2025-c571,Murder,BNS 2023,327,Attacked with a sharp weapon at night near Saraswathipuram PS
FIR-319/2025-2a2d,Assault,BNS 2023,188,Physical altercation over property dispute in Devaraja PS
FIR-175/2025-5ded,Theft,BNS 2023,329,Stole copper wires from a construction site in Malleswaram PS
FIR-856/2025-ecac,Cyber Crime,BNS 2023,377,Sent phishing link offering fake loan
FIR-791/2025-6421,Assault,BNS 2023,328,Physical altercation over property dispute in Belagavi Camp PS
FIR-619/2025-7c1a,Robbery,BNS 2023,309,Broke into house and stole valuables in Tumakuru Town PS
FIR-750/2025-7744,Robbery,BNS 2023,188,Snatched gold chain while victim was walking near Kuvempunagar PS
FIR-855/2025-8153,Theft,BNS 2023,139,Stole copper wires from a construction site in Cubbon Park PS
FIR-841/2025-2cba,Theft,BNS 2023,343,Pickpocketed mobile phone at a crowded market in Indiranagar PS
FIR-838/2025-d739,Theft,BNS 2023,330,Stole parked two-wheeler from Kyathasandra PS
FIR-254/2025-20d6,Cyber Crime,BNS 2023,277,Romance scam on dating app leading to crypto transfer
FIR-449/2026-5906,Murder,BNS 2023,178,Stabbed after a drunken brawl in Malleswaram PS
FIR-691/2026-e6e2,Assault,BNS 2023,231,Physical altercation over property dispute in Kyathasandra PS
FIR-917/2026-3f59,POCSO,BNS 2023,191,Harassed minor in the neighborhood of Malleswaram PS
FIR-556/2026-20d4,Theft,BNS 2023,176,Stole copper wires from a construction site in Koramangala PS
FIR-526/2025-06aa,Robbery,BNS 2023,105,Snatched gold chain while victim was walking near Hubballi Town PS
FIR-390/2025-727d,Assault,BNS 2023,229,Group clash using sticks and stones in Dharwad Suburban PS
FIR-141/2025-a3b2,NDPS,BNS 2023,158,Smuggling synthetic drugs in a hidden compartment near Devaraja PS
FIR-800/2025-6ca9,Cheating,BNS 2023,227,Sold fake property documents to victim in Dharwad Suburban PS
FIR-200/2025-94f8,POCSO,BNS 2023,117,Groomed minor over social media
FIR-690/2026-f927,Robbery,BNS 2023,186,Threatened with a knife and stole wallet at Kyathasandra PS
FIR-610/2026-19d1,NDPS,BNS 2023,274,Smuggling synthetic drugs in a hidden compartment near Belagavi Camp PS
FIR-338/2026-f872,Cheating,BNS 2023,234,Sold fake property documents to victim in Saraswathipuram PS
FIR-142/2026-8b17,Theft,BNS 2023,336,Stole copper wires from a construction site in Kuvempunagar PS
FIR-846/2026-ee2b,NDPS,BNS 2023,281,Smuggling synthetic drugs in a hidden compartment near Vidyanagar PS
FIR-756/2025-ffad,Murder,BNS 2023,329,Poisoned during a family dispute at Indiranagar PS
FIR-583/2026-70ad,Cheating,BNS 2023,247,Chit fund scam defrauding multiple investors in Saraswathipuram PS
FIR-411/2025-6daf,Cheating,BNS 2023,315,Promised a job and took advance money in Indiranagar PS
FIR-124/2026-6099,Murder,BNS 2023,197,Attacked with a sharp weapon at night near Kyathasandra PS
FIR-535/2025-d1d4,NDPS,BNS 2023,381,Smuggling synthetic drugs in a hidden compartment near Belagavi Camp PS
FIR-784/2025-a314,Cyber Crime,BNS 2023,264,Sent phishing link offering fake loan
FIR-977/2026-c37e,Assault,BNS 2023,215,Physical altercation over property dispute in Malleswaram PS
FIR-358/2025-c30e,NDPS,BNS 2023,200,Caught selling marijuana packets near college in Tilakwadi PS
FIR-251/2026-5096,NDPS,BNS 2023,291,Smuggling synthetic drugs in a hidden compartment near Cubbon Park PS
FIR-293/2025-c297,NDPS,BNS 2023,182,Caught selling marijuana packets near college in Vidyanagar PS
FIR-179/2026-b1d1,Cheating,BNS 2023,108,Sold fake property documents to victim in Kyathasandra PS
FIR-612/2025-29aa,Assault,BNS 2023,247,Road rage incident leading to severe injuries near Kyathasandra PS
FIR-164/2026-14cf,Cheating,BNS 2023,122,Promised a job and took advance money in Tilakwadi PS
FIR-554/2025-8a69,Theft,BNS 2023,278,Stole copper wires from a construction site in Tilakwadi PS
FIR-471/2026-f7d7,Robbery,BNS 2023,141,Broke into house and stole valuables in Devaraja PS
FIR-146/2026-76b6,Cheating,BNS 2023,363,Chit fund scam defrauding multiple investors in Khadebazar PS
FIR-246/2026-7c96,Assault,BNS 2023,217,Group clash using sticks and stones in Kuvempunagar PS
FIR-568/2025-5d73,Cheating,BNS 2023,247,Promised a job and took advance money in Koramangala PS
FIR-260/2025-6f89,Robbery,BNS 2023,177,Broke into house and stole valuables in Cubbon Park PS
FIR-900/2025-cb03,NDPS,BNS 2023,378,Found possessing cocaine at a rave party in Dharwad Suburban PS
FIR-274/2026-6347,Assault,BNS 2023,312,Group clash using sticks and stones in Dharwad Suburban PS
FIR-165/2025-a31b,Robbery,BNS 2023,346,Broke into house and stole valuables in Tilakwadi PS
FIR-164/2025-87bb,Murder,BNS 2023,107,Stabbed after a drunken brawl in Tilakwadi PS
FIR-248/2025-5af9,Cyber Crime,BNS 2023,165,Tricked victim into sharing OTP over phone call
FIR-795/2025-e0d0,Robbery,BNS 2023,360,Broke into house and stole valuables in Hubballi Town PS
FIR-752/2025-5ea1,Cyber Crime,BNS 2023,228,Tricked victim into sharing OTP over phone call
FIR-135/2025-9f6c,POCSO,BNS 2023,131,Groomed minor over social media
FIR-882/2025-3f87,POCSO,BNS 2023,150,Groomed minor over social media
FIR-429/2026-9fc7,Assault,BNS 2023,233,Group clash using sticks and stones in Kyathasandra PS
FIR-302/2026-7737,Cheating,BNS 2023,105,Chit fund scam defrauding multiple investors in Indiranagar PS
FIR-196/2025-708d,POCSO,BNS 2023,364,Groomed minor over social media
FIR-405/2026-1969,Murder,BNS 2023,278,Attacked with a sharp weapon at night near Khadebazar PS
FIR-585/2025-1b7e,Robbery,BNS 2023,305,Threatened with a knife and stole wallet at Tilakwadi PS
FIR-904/2026-04ad,Cyber Crime,BNS 2023,184,Sent phishing link offering fake loan
FIR-883/2026-b356,Murder,BNS 2023,210,Stabbed after a drunken brawl in Kyathasandra PS
FIR-283/2026-54d4,Cheating,BNS 2023,333,Chit fund scam defrauding multiple investors in Kuvempunagar PS
FIR-851/2026-dfd6,Cheating,BNS 2023,281,Promised a job and took advance money in Dharwad Suburban PS
FIR-995/2026-3e36,NDPS,BNS 2023,180,Found possessing cocaine at a rave party in Kyathasandra PS
