Sl No.,Date,Ministry (Kannada),Ministry (English Translation),Subject (Kannada),Subject (English Translation),MLA name (Kannada),MLA name (English Translation)
587,06/02/2015,ಕೃಷಿ,Agriculture,ಕಳಪೆ ಮಟ್ಟದ ಕಾಮಗಾರಿಗಳು,Poor works,"ಪ್ರಭು ಬಿ, ಚೌಹಾಣ್","Prabhu B, Chauhan"
588,06/02/2015,ಕೃಷಿ,Agriculture,ಬಂಗಾರಪೇಟೆ ತಾಲ್ಲೂಕಿನಲ್ಲಿ ಮಳೆ ಅಭಾವದಿಂದ ಉಟಾಂಗಿರುವ ತೊಂದರೆ ,The problem with the rainfall in the Bangarapete taluk,ನಾರಾಯಣಸ್ವಾಮಿ ಎಸ್ ಎನ್ ,Narayanaswamy SN
589,06/02/2015,ಕೃಷಿ,Agriculture,ಮಳೆ ಮಾಪನ ಕೇಂದ್ರಗಳು,Rain measurement centers,ಸುರೇಶ್ ಬಾಬು ಸಿ ಬಿ ,Suresh Babu c b
590,06/02/2015,ಕೃಷಿ,Agriculture,ಬರ ಪೀಡಿತ ಕೇಂದ್ರವೆಂದು ಘೋಷಣೆಮಾಡುವುದು,Declaration as a drought-hit center,ಸುರೇಶ್ ಬಾಬು ಸಿ ಬಿ ,Suresh Babu c b
591,06/02/2015,ಕೃಷಿ,Agriculture,ರಾಜ್ಯದಲ್ಲಿ ಕೃಷಿ ಯೋಜನೆಯ ಫಲಾನುಭವಿಗಳು,Beneficiaries of the Agricultural Plan in the State,ಬಾಲಕೃಷ್ಣ ಸಿ ಎನ್ ,Balakrishna CNN
592,06/02/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ಹಪ್ ಕಾಮ್ಸ್ ತೆರೆಯುವುದು,Opening Hip Cams,ತನ್ವೀರ್ ಸೇಠ್,Tanvir Seth
593,06/02/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ಕಬ್ಬನ್ ಉದ್ಯಾನವನ ಮತ್ತು ಲಾಲ್ಬಾಗ್ನಲ್ಲಿ ಸಾಂಸ್ಕೃತಿಕ ಕಾರ್ಯಕ್ರಮಗಳು,Cultural Events in Cubbon Park and Lalbagh,ಗೋಪಾಲಯ್ಯ. ಕೆ,Gopalaiah. K.
594,06/02/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ಬೆಮಗಳೂರಿನ ಲಾಲ್ಭಾಗ್ನಲ್ಲಿ ನಡೆಯುವ ಫಲಪುಷ್ಪ ಪ್ರದರ್ಶನ,"Fresh fruit show in Lal Bagh, Bemasuram",ಗೋಪಾಲ ಪೂಜಾರಿ.ಕೆ,Gopal Poojary K.
595,06/02/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ತೋಟಗಾರಿಕಾ ಇಲಾಖೆಯಿಂದ ಸಹಾಯಧನ ನೀಡುವ ಬಗ್ಗೆ,About subsidy from the Horticulture Department,ಕೃಷ್ಣಾರೆಡ್ಡಿ ಎಂ ,Krishnaredhend M.
596,06/02/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ರಾಜ್ಯದಲ್ಲಿರುವ ತೋಟಗಾರಿಕಾ ಕ್ಷೇತ್ರಕ್ಕೆ ಸಂಶೋಧನೆ ಮತ್ತು ಹೆಚ್ಚಿನ ಆಧುನಿಕ ಪ್ರೋತ್ಸಾಹ ನೀಡಿಕೆ,Research and more advanced incentives for horticulture in the state,ಹ್ಯಾರಿಸ್ ಎನ್ ಎ ,Harris N. A.
597,06/02/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ತೋಟಗಾರಿಕೆಗೆ ಸಬ್ಸಿಡಿ ಸಾಲ ನೀಡುವುದು,Subsidy Loan for Horticulture,ರೇವಣ್ಣ ಹೆಚ್ ಡಿ,Revanna H.D.
598,06/02/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ಅನುಪಯುಕ ತೋಟಗಾರಿಕೆ ಫಾರಂಗಳ ಕುರಿತು ,About Useless Gardening Fertilizers,ರಮೇಶ್ ಕುಮಾರ್ ಕೆ ಆರ್,Ramesh Kumar KR
599,06/02/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ತಂಗಿನ ಮರಗಅಲಿಗೆ ಸುಳಿ ಕೊರೆಯುವ ರೋಗ,Soothing Disease,ರವಿ ಸಿ ಟಿ ,Ravi c
600,06/02/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ಯಂತ್ರೋಪಕರಣ ಖರೀದಿಗೆ ರೈತರಿಗೆ ಸಹಾಯಧನ ನೀಡುವುದು,Subsidy to farmers for purchase of machinery,ಜೀವರಾಜ್ ಡಿ.ಎನ್,Jivaraj DN
601,06/02/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ಶೀತಲ ಗೃಹ ನಿರ್ಮಿಸುವುದು,Building a cold house,ಯಶವಂತರಾಯಗೌಡ ವಿಠ್ಠಲಗೌಡ ಪಾಟೀಲ್,Yashwantra Gowda Vitthal Gowda Patil
602,06/02/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ರಬ್ಬರ್ ಬೆಳೆದ ಕೃಷಿಕರು,Rubber grown farmers,ಮೋಹಿಯುದ್ದಿನ್ ಬಾವಾ ಬಿ.ಎ,Mohiuddin Bawa BA
603,06/02/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ಅಡಿಕೆ ಸುಲಿಯುವ ಯಂತ್ರಗಳಿಗೆ ಸಬ್ಸಿಡಿ ನೀಡುವುದು,Subsidy for nut slicing machines,ವಡ್ನಾಳ್ ರಾಜಣ್ಣ,Vadnal Rajanna
604,06/02/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ರೈತರಿಗೆ ಸಹಾಯಧನ,Subsidy for farmers,ಮಂಜುನಾಥ್ ಗೌಡ ಕೆ.ಎಸ್,Manjunath Gowda KS
605,06/02/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ಅನುಷನಗೊಂಡ ವಿವಿಧ ಅಭಿವೃದ್ಧಿ ಯೋಜನೆಗಳು,Various Development Projects Developed,ಮಂಜುನಾಥ್ ಗೌಡ ಕೆ.ಎಸ್,Manjunath Gowda KS
606,06/02/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ಆನೀಕಲ್ ತಾಲ್ಲೂಕಿಗೆ ತೋಟಗಾರಿಕೆ ಇಲಾಖೆಯ ಯೋಜನೆಗಳ ಫಲಾನುಭವಿಗಳು,Beneficiaries of the Department of Horticulture Department for Anekal Taluk,ಶಿವಣ್ಣ ಬಿ,Shivanna b
607,06/02/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ತೋಟಗಾರಿಕೆ ಬೆಳೆಗಳ ಹಾನಿ,Damage to Horticulture Crops,ಪಾಟೀಲ್ ಎ.ಎಸ್.(ನಡಹಳ್ಳಿ),Patil AS (Nadahalli)
608,06/02/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ತಟಗಾರಿಕೆ ವಿಶ್ವವಿದ್ಯಾಲಯಕ್ಕೆ ಮಂಜೂರಾದ ಜಮೀನು,Land sanctioned to the University of Teaching,ಪಾಟೀಲ್ ಜೆ ಟಿ,Patil JT
609,06/02/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ಅಳಂದ ತಾಲ್ಲೂಕಿನಲ್ಲಿ ಬೆಳೆಯುತ್ತಿರುವ ಹಣ್ಣು- ಹಂಪಲುಗಳ ಬಗ್ಗೆ,About the fruit growing up in the taluk taluk,ಪಾಟೀಲ್ ಬಿ ಆರ್,Patil B. R.
610,06/02/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ತೆಂಗು ಬೆಳೆಗೆ ಪರಿಹಾರ ನೀಡುವುದು,Solution to Coconut Crop,ಪ್ರಕಾಶ್ ಹೆಚ್ ಎಸ್ ,Prakash HS
611,06/02/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ತೋಟಗಾರಿಕಾ ಬೆಳೆಗಳಿಗೆ ಹನಿ ನೀರಾವರಿ ಅಳವಡಿಸುವುದು,Establish drip irrigation to horticultural crops,ಪ್ರಕಾಶ್ ಹೆಚ್ ಎಸ್ ,Prakash HS
612,06/02/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ತೋಟಗಾರಿಕಾ ಇಲಾಖೆಕೆಗೆ ಸೇರಿದ ಜಮೀನು,Land belonging to the Horticultural Department,ನರೇಂದ್ರ ಆರ್,Narendra R.
613,06/02/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ತೋಟಗಾರಿಕೆ ಬೆಳೆಗಳು,Gardening crops,ನರೇಂದ್ರ ಸ್ವಾಮಿ ಪಿ ಎಂ ,Narendra Swami P.M.
614,06/02/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ಸಸ್ಯ ಸಂರಕ್ಷu ಮತ್ತು ಸಂಶೋಧನ ಕೇಂದ್ರ ಸ್ಥಾಪನೆ,Establishment of plant protection u and research center,ಸುಧಾಕರ ಲಾಲ್ ಪಿ.ಆರ್,Sudhakar Lal PR
615,06/02/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ಸುರ್ವಣ ಕರ್ನಾಟಕ ಉದ್ಯಾನ್ ಟ್ರಸ್ಟ್ ನಿರ್ಮಾಣ,Construction of Surana Karnataka Udyan Trust,ಲೋಬೋ ಜೆ ಆರ್ ,Lobo j r
616,06/02/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,"ಬೃಂದಾವನ ಗಾರ್ಡನ್ಸ್, ಮೈಸೂರು ಇದರ ನಿರ್ವಹಣೆ","Brindavan Gardens, Mysore",ಲೋಬೋ ಜೆ ಆರ್ ,Lobo j r
617,06/02/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ಹನಿ ನೀರಾವರಿಗೆ ಅನುದಾನ ಬಿಡುಗಡೆ,Release of Honey Irrigation,ಬಾಲಕೃಷ್ಣ ಸಿ ಎನ್ ,Balakrishna CNN
618,09/02/2015,ಪಶುಸಂಗೋಪನೆ ,Animal husbandry,ಉದ್ಯೋಗವಕಾಶ ದೊರಕಿಸುವುದು,Getting a job,ರಾಜೀವ್ ಪಿ,Rajiv P.
619,09/02/2015,ಮೀನುಗಾರಿಕೆ,Fishing,ಯiಂತ್ರಿಕ ಬೋಟು ನಿರ್ಮಾಣ,I built a mechanical boat,ಶಾರದಾ ಮೋಹನ ಶೆಟ್ಟಿ,Sharada Mohana Shetty
620,09/02/2015,ಮೀನುಗಾರಿಕೆ,Fishing,ಮೀನು ಸಾಗಾಣಿಕೆಗೆ ಸೀಮೆಎಣ್ಣೆ ನೀಡುವುದು,Kerosene for fish transport,ಶಾರದಾ ಮೋಹನ ಶೆಟ್ಟಿ,Sharada Mohana Shetty
621,09/02/2015,ಮೀನುಗಾರಿಕೆ ,Fishing,ಮೀನು ಸಾಕಾಣಿಕೆಗೆ ಉತ್ತೇಜನ ನೀಡುವುದು,Encouraging fish farming,ರಮೇಶ್ ಬಂಡಿಸಿದ್ದೇಗೌಡ ಎ ಬಿ,Ramesh budded gowda a b
622,09/02/2015,ಮೀನುಗಾರಿಕೆ ,Fishing,ಮೀನು ಉತ್ಪಾದನೆ ವಿವರ,Fish production details,ವಸಂತಬಂಗೇರ ಕೆ ,Vasant Bangera K.
623,09/02/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ಕಚ್ಚಾ ಮಾಲು ಪೂರೈಸುವುದು,Supply of raw flour,ಕೋಳಿವಾಡ ಕೆ.ಬಿ.,Kolivada kb
624,09/02/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ಮನೆಗಳನ್ನು ಮಂಜೂರು ಮಾಡುವುದು,Sanctioning homes,ಕೃಷ್ಣಾರೆಡ್ಡಿ ಎಂ ,Krishnaredhend M.
625,09/02/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ಕರ್ನಾಟಕ ಕೈಮಗ್ಗ ಅಭಿವೃದ್ದಿ ನಿUಮಕ್ಕೆ ನೀಡಿದ ಅನುದಾನ,The grant given to Karnataka Handloom Development Fund,ರಾಘವೇಂದ್ರ ಬಿ ವೈ,Raghavendra B. Y.
626,09/02/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ಟೆಕ್ಸಟೈಲ್ ಪಾರ್ಕಗಳನ್ನು ನಿರ್ಮಿಸುವುದು ,Building Textile Parks,ರಾಜೇಶ್ ಎಚ್ ಪಿ,Rajesh H. P.
627,09/02/2015,ಯುವ ಸಬಲೀಕರಣ ಮತ್ತು ಕ್ರೀಡಾ,Youth empowerment and sport,ಹಸದಾಗಿ ಒಳಾಂಗಣ ಕ್ರೀಡಾಂಗಣ ನಿರ್ಮಿಸುವುದು,Build an indoor stadium with hunger,ಗೋಪಾಲಯ್ಯ. ಕೆ,Gopalaiah. K.
628,09/02/2015,ಯುವ ಸಬಲೀಕರಣ ಮತ್ತು ಕ್ರೀಡಾ,Youth empowerment and sport,ಗರಡಿ ಮನೆ ಮಂಜೂರಾತಿ,Garadi House sanctioned,ರಾಘವೇಂದ್ರ ಬಸವರಾಜ್ ಹಿಟ್ನಾಳ್,Raghavendra Basavaraj Hitnal
629,09/02/2015,ಯುವ ಸಬಲೀಕರಣ ಮತ್ತು ಕ್ರೀಡಾ,Youth empowerment and sport,ಕ್ರೀಡಾಂಗಣ ಅಭಿವೃದ್ಧಿ,Stadium development,ರಮೇಶ್ ಬಂಡಿಸಿದ್ದೇಗೌಡ ಎ ಬಿ,Ramesh budded gowda a b
630,09/02/2015,ಯುವ ಸಬಲೀಕರಣ ಮತ್ತು ಕ್ರೀಡಾ,Youth empowerment and sport,ಕ್ರೀಡಾ ಇಲಾಖೆಯ ನೂತನ ಯೋಜನೆಗಳು,Sports Department's new projects,ರವಿ ಸುಬ್ರಹ್ಮಣ್ಯ ಎಲ್.ಎ,Ravi Subramanya L.A.
631,09/02/2015,ಯುವ ಸಬಲೀಕರಣ ಮತ್ತು ಕ್ರೀಡಾ,Youth empowerment and sport,ಯುವ ಸಬಲೀಕರಣ ಮತ್ತು ಕ್ರೀಡಾ ಯೋಜನೆಗಳು,Youth Empowerment and Sports Plans,ಅಪಜಿ @ ಚೆನ್ನಬಸವರಾಜ್ ಶಂಕರರಾವ್ ನಾಡಗೌಡ,Aphipji @ Chennabaswaraj Shankarrao Nadgowda
632,09/02/2015,ಯುವ ಸಬಲೀಕರಣ ಮತ್ತು ಕ್ರೀಡಾ,Youth empowerment and sport,ಬಾಸ್ಕೆಟ್ ಬಾಲ್ ಕ್ರೀಡಾಂಗಣ ಅಪೂರ್ಣ ಕಾಮಗಾರಿ,Basketball stadium is incomplete work,ವೆಂಕಟರಮಣಯ್ಯ ಟಿ,Venkataramanyaya T.
633,09/02/2015,ಯುವ ಸಬಲೀಕರಣ ಮತ್ತು ಕ್ರೀಡಾ,Youth empowerment and sport,ಕ್ರೀಡಾಂಗಣ ನವೀಕರಣ ಮತ್ತು ಮೂಲಭೂತ ಸೌಲಭ್ಯ,Stadium renovation and infrastructure,ಮಂಜುನಾಥ್ ಗೌಡ ಕೆ.ಎಸ್,Manjunath Gowda KS
634,09/02/2015,ಯುವ ಸಬಲೀಕರಣ ಮತ್ತು ಕ್ರೀಡಾ,Youth empowerment and sport,ಬೆಂಗಳೂರು ರೇಸ್ ಕೋರ್ಸ್ ಪ್ರದೇಶದ ವಿಸ್ತೀರ್ಣ,Area of ​​Bangalore Race Course Area,ಮುನಿರತ್ನ,Muniratne
635,09/02/2015,ಯುವ ಸಬಲೀಕರಣ ಮತ್ತು ಕ್ರೀಡಾ,Youth empowerment and sport,ಕ್ರೀಡಾಂಗಣಕ್ಕೆ ಮೂಲಭೂತ ಸೌಕರ್ಯ ಒದಗಿಸುವುದು,Providing infrastructure to the stadium,ನರೇಂದ್ರ ಆರ್,Narendra R.
636,09/02/2015,ಯುವ ಸಬಲೀಕರಣ ಮತ್ತು ಕ್ರೀಡಾ,Youth empowerment and sport,ಕ್ರಿಡಾ ಚಟುವಟಿಕೆಗಳು,Activity activities,ನಾರಾಯಣಸ್ವಾಮಿ ಎಸ್ ಎನ್ ,Narayanaswamy SN
637,09/02/2015,ಯುವ ಸಬಲೀಕರಣ ಮತ್ತು ಕ್ರೀಡಾ,Youth empowerment and sport,"ಒಳಾಂಗಣ, ಹೊರಾಂಗಣ ಕ್ರೀಡಾಂಗಣ ಮತ್ತು ವಸತಿ ನಿಲಯಗಳು ","Indoor, outdoor stadiums and hostels",ಸುರೇಶ್ ಬಾಬು ಸಿ ಬಿ ,Suresh Babu c b
638,09/02/2015,ಯುವ ಸಬಲೀಕರಣ ಮತ್ತು ಕ್ರೀಡಾ,Youth empowerment and sport,ವಯಮ ಶಾಲೆ ನಿರ್ಮಾಣ,Age School Construction,ಸಂಜಯ್ ಬಿ. ಪಾಟೀಲ್,Sanjay B. Patil
639,09/02/2015,ಅರಣ್ಯ,Forest Department,ಚಿರತೆಕಾಟ ಮತ್ತು ಮೇಲುಕೋಟೆ ಅಭಯಾರಣ್ಯದ ಅಭಿವೃದ್ಧಿ,Development of the Cheetah and the Milkcoat Sanctuary,ಚೆಲುವರಾಯಸ್ವಾಮಿ ಎನ್ ,Cheluvaraswamy N.
640,09/02/2015,ಅರಣ್ಯ,Forest Department,ರಾಜ್ಯದಲ್ಲಿ ಅರಣ್ಯ ಒತ್ತುವರಿ,Forest enclosure in the state,ಡಾ.ಗುರುಪಾದಪ್ಪ ನಾಗಮಾರಪಳ್ಳಿ,Dr. Gurupappa Nagamarapally
641,09/02/2015,ಅರಣ್ಯ,Forest Department,ಆನೆ ಮತ್ತು ಚಿರತೆ ದಾಳಿ,Elephant and leopard attack,ಡಾ.ಕೆ.ಶ್ರೀನಿವಾಸ್ ಮೂರ್ತಿ,Dr. K. Srinivas Murthy
642,09/02/2015,ಅರಣ್ಯ,Forest Department,ತಿಪ್ಪಗೊಂಡನಹಳ್ಳಿ ಗ್ರಾಮದ ಡೀಮ್ಡ್ ಫಾರೆಸ್ಟ್,Deimed Forest of Thippagondanahalli village,ಡಾ.ಕೆ.ಶ್ರೀನಿವಾಸ್ ಮೂರ್ತಿ,Dr. K. Srinivas Murthy
643,09/02/2015,ಅರಣ್ಯ,Forest Department,ಗ್ರಾನೈಟ್ ಕಟ್ಟಿಂಗ್ ಮತ್ತು ಪಾಲಿಶಿಂಗ್ ಘಟಕಗಳು,Granite cutting and polishing units,ಮಾಲಕರೆಡ್ಡಿ ಎ.ಬಿ ಡಾ,Malarreddy AB Dr.
644,09/02/2015,ಅರಣ್ಯ,Forest Department,ಕರಡಿ ದಾಳಿಯಿಂದ ಪ್ರಾಣ ಕಳೆದುಕೊಂಡವರು,The bear lost their lives,ಕ್ಯಾತಸಂದ್ರ ಎನ್ ರಾಜಣ್ಣ,Kathasandra N Rajanna
645,09/02/2015,ಅರಣ್ಯ,Forest Department,ಖಾಲಿ ಹುದ್ದೆಗಳ ಭರ್ತಿ ಮಾಡುವುದು,Filling up vacant posts,ಐಹೋಳೆ ಡಿ ಮಹಾಲಿಂಗಪ್ಪ,Ihole de Mahalingappa
646,09/02/2015,ಅರಣ್ಯ,Forest Department,ಹುಲಿಗಳ ಸಂರಕ್ಷಣೆ ,Tiger Conservation,ರಾಘವೇಂದ್ರ ಬಿ ವೈ,Raghavendra B. Y.
647,09/02/2015,ಅರಣ್ಯ,Forest Department,ಭದ್ರಾ ಮೇಲ್ದಂಡೆ ಯೋಜನೆಗೆ ಅರಣ್ಯ ಭೂಮಿ ನೀಡಿರುವುದು,Forest land was given to the Bhadra Upstairs Project,ರಘುಮೂರ್ತಿ ಟಿ,Raghumurthy T.
648,09/02/2015,ಅರಣ್ಯ,Forest Department,ಅರಣ್ಯ ಇಲಾಖೆಯ ಕಾರ್ಯಕ್ರಮಗಳು,Forest department programs,ರವಿ ಸಿ ಟಿ ,Ravi c
649,09/02/2015,ಅರಣ್ಯ,Forest Department,ಪಶ್ಚಿಮ ಘಟ್ಟ ಕಾರ್ಯಪಡೆ,Western Ghats Task Force,ಅರಬೃಲ್ ಶಿವರಾಮ್ ಹೆಬ್ಬಾರ್,Arabar Shivaram Hebbar
650,09/02/2015,ಅರಣ್ಯ,Forest Department,ಅರಣ್ಯ ಇಲಾಖೆಂಯಿಂದ ಕೈಗೊಂಡ ಕಾರ್ಯಕ್ರಮಗಳು,Programs taken by Forest Department,ಅಶೋಕ್ ಖೇಣಿ,Ashok Kheni
651,09/02/2015,ಅರಣ್ಯ,Forest Department,ಕಾಡನೆ ಹಾವಳಿ ತಪ್ಪಿಸಲು ಸೋಲಾರ್ ತಂತಿ ಅಳವಡಿಕೆ ಮತ್ತು ಕಂದಕ ನಿರ್ಮಾಣ ,Solar wire installation and trench construction to avoid littering,ಅಪ್ಪಚ್ಚು ರಂಜನ್ ಎಂ ಪಿ,Appachan Ranjan M.P.
652,09/02/2015,ಅರಣ್ಯ,Forest Department,ಕಾಡಾನೆ ಹಾವಳಿಯಿಂದಾದ ನಷ್ಟಕ್ಕೆ ಪರಿಹಾರ,Solution to the loss of wildlife,ಅಪ್ಪಚ್ಚು ರಂಜನ್ ಎಂ ಪಿ,Appachan Ranjan M.P.
653,09/02/2015,ಅರಣ್ಯ,Forest Department,ಮರಗಳ್ಳತನ ಪ್ರಕರಣ,Woodland case,ಅಪ್ಪಚ್ಚು ರಂಜನ್ ಎಂ ಪಿ,Appachan Ranjan M.P.
654,09/02/2015,ಅರಣ್ಯ,Forest Department,ಅರಣ್ಯ ಭೂಮಿ ವಿವರ ಒದಗಿಸುವುದು,Providing forest land details,ಚಿಕಮಾದು ಎಸ್,Chakma S.
655,09/02/2015,ಅರಣ್ಯ,Forest Department,ಫ್ಲೆಕ್ಸ್ ಮತ್ತು ಪ್ಲಾಸ್ಟಿಕ್ ಕೈ ಚೀಲಗಳ ನಿಷೇಧ,Prohibition of Flex and Plastic Hand Bags,ಯಶವಂತರಾಯಗೌಡ ವಿಠ್ಠಲಗೌಡ ಪಾಟೀಲ್,Yashwantra Gowda Vitthal Gowda Patil
656,09/02/2015,ಅರಣ್ಯ,Forest Department,Zಚಿರತೆಗಳ ಹಾವಳಿ,Z leopards,ವೈ ಎಸ್ ವಿ ದತ್ತಾ,YSV Dutta
657,09/02/2015,ಅರಣ್ಯ,Forest Department,ಕಾಡು ಪ್ರಾಣಿಗಳ ಹಾವಳಿ,Wild animals,ಮೋಹಿಯುದ್ದಿನ್ ಬಾವಾ ಬಿ.ಎ,Mohiuddin Bawa BA
658,09/02/2015,ಅರಣ್ಯ,Forest Department,ಗುಡುವಿ ಪಕ್ಷಿಧಾಮ ಅಭಿವೃದ್ಧಿಪಡಿಸುವುದು,Developing the Gutti Bird Sanctuary,ಮಧು ಬಂಗಾರಪ್ಪ ಎಸ್,Madhu Bangarappa S.
659,09/02/2015,ಅರಣ್ಯ,Forest Department,ಅರಣ್ಯ ಹಕ ಸಮಿತಿಯ ಕಾರ್ಯ ವಿಧಾನ ,Process of the Forest Haka Committee,ಮಂಜುನಾಥ್ ಹೆಚ್.ಪಿ,Manjunath HP
660,09/02/2015,ಅರಣ್ಯ,Forest Department,ಒತವರಿಯಾಗಿರುವ ಅರಣ್ಯ ಪ್ರದೇಶ,The forested area,ಶಿವಲಿಂಗೇಗೌಡ ಕೆ ಎಂ,Shivalinge Gowda KM
661,09/02/2015,ಅರಣ್ಯ,Forest Department,ಅರಣ್ಯ ಪ್ರದೇಶದಲ್ಲಿ ನೆಟ್ಟ ಸಸಿಗಳು,Planting plants in the forest area,ಸಿದ ಬಿ ನ್ಯಾಮಗೌಡ,Said b Nammauda
662,09/02/2015,ಅರಣ್ಯ,Forest Department,ಪರಿಹಾರ ವಿತರಣೆ,Delivery of the solution,ಬಣಕಾರ್ ಯು ಬಿ ,Banakar UB
663,09/02/2015,ಅರಣ್ಯ,Forest Department,ಕಸ ವಿಲೇವಾರಿ ಘಟಕ ಸಾಪನೆ,Garbage Disposal Unit,ಶಾರದಾ ಮೋಹನ ಶೆಟ್ಟಿ,Sharada Mohana Shetty
664,09/02/2015,ಅರಣ್ಯ,Forest Department,ಸಮಾಜಿಕ ಅರಣು ವಲಯದ ಕಾಮಗಾರಿ,The work of the social irrigation sector,ಪಾಟೀಲ್ ಎ.ಎಸ್.(ನಡಹಳ್ಳಿ),Patil AS (Nadahalli)
665,09/02/2015,ಅರಣ್ಯ,Forest Department,ಅರಣ್ಯ ಸಂಪತ್ತು,Forest Treasures,ಪುಟ್ಟರಂಗಶೆಟ್ಟಿ ಸಿ,Puttarangasetti c
666,09/02/2015,ಅರಣ್ಯ,Forest Department,ಆನೆ ದಾಳಿ ಪ್ರಕರಣಗಳು,Elephant Attack Cases,ನರೇಂದ್ರ ಸ್ವಾಮಿ ಪಿ ಎಂ ,Narendra Swami P.M.
667,09/02/2015,ಅರಣ್ಯ,Forest Department,ಚಿರತೆ ಹಾವಳಿಯನ್ನು ನಿಯಂತ್ರಿಸುವುದ,Do not control leopard catapult,ಸೋಮಶೇಖರ್ ಎಸ್ ಟಿ,Somashekhar ST
668,09/02/2015,ಅರಣ್ಯ,Forest Department,ಗಣಿಗಾರಿಕೆಯಿಂದ ಗಿಡ ಮರಗಳು ನಾಶವಾಗಿರುವುದು,Trees will be destroyed by mining,ಸುರೇಶ್ ಬಾಬು ಸಿ ಬಿ ,Suresh Babu c b
669,09/02/2015,ಅರಣ್ಯ,Forest Department,ನಗರ ಅರಣ್ಯೀಕರಣ,Urban forestry,ಲೋಬೋ ಜೆ ಆರ್ ,Lobo j r
670,09/02/2015,ಅರಣ್ಯ,Forest Department,ರಾಜ್ಯದ ಮೃಗಾಲಯಗಳು,State zoos,ಲೋಬೋ ಜೆ ಆರ್ ,Lobo j r
671,09/02/2015,ಅರಣ್ಯ,Forest Department,ಅರಣ್ಯ ಹಕ್ಕು ಕಾಯಿದೆ,Forest Rights Act,ಅರಬೃಲ್ ಶಿವರಾಮ್ ಹೆಬ್ಬಾರ್,Arabar Shivaram Hebbar
672,09/02/2015,ಅರಣ್ಯ,Forest Department,ಡೀಮ್ಡ್ ಫಾರೆಸ್ಟ್ ಪರಿಶೀಲಿಸಲು ರಚಿಸಿರುವ ಸಮಿತಿ,Committee to Review Deemed Forest,ಬಣಕಾರ್ ಯು ಬಿ ,Banakar UB
673,09/02/2015,ಜಲಸಂಪನ್ಮೂಲ ,Water source,ಕೊಪ್ಪಳ ಏತ ನೀರಾವರಿ ಯೋಜನೆ,Koppal irrigation scheme,ಡೊಡ್ಡನಗೌಡ ಹನುಮಗೌಡ ಪಾಟೀಲ್,Doddanagowda Hanumagowda Patil
674,09/02/2015,ಜಲಸಂಪನ್ಮೂಲ ,Water source,ಸಣ್ಣ ನಿರಾವರಿ ಕೆರೆಗಳು,Small amphibious lakes,ಚೆಲುವರಾಯಸ್ವಾಮಿ ಎನ್ ,Cheluvaraswamy N.
675,09/02/2015,ಜಲಸಂಪನ್ಮೂಲ ,Water source,ವಕೆದಾಟು ಅಣೆಕಟ್ಟು ನಿರ್ಮಾಣ,Wakata dam construction,ಚೆಲುವರಾಯಸ್ವಾಮಿ ಎನ್ ,Cheluvaraswamy N.
