Sl No.,Date,Ministry (Kannada),Ministry (English Translation),Subject (Kannada),Subject (English Translation),MLA name (Kannada),MLA name (English Translation)
1440,24/11/2016,ನಗರಾಭಿವೃದ್ಧಿ,Urban development,ನಗರ ಪ್ರದೇಶದ ಪೌರಕಾರ್ಮಿಕರು ಗೃಹ ಭಾಗ್ಯ ಯೋಜನೆಯ ಲಾಭ ಪಡೆಯದೆ ಇರುವ ಬಗ್ಗೆ,Urban urban workers are not benefited from the home loan scheme,ಕವಟಗಿಮಠ ಮಹಂತೇಶ ಮಲ್ಲಿಕಾರ್ಜುನ,Kavatimata Mahantesha Mallikarjuna
1441,24/11/2016,ಅಬಕಾರಿ,Excuse,ಬೆಳಗಾವಿ ಜಿಲ್ಲೆಯಲ್ಲಿ ಕಳ್ಳಭಟಿ ತಯಾರಿಕೆ ಹಾಗೂ ಕಳ್ಳ ಮದ್ಯ ಸಾಗಾಣಿಕೆ ಹೆಚ್ಚಾಗಿರುವ ಕುರಿತು,Belgaum district has a lot of smuggling and smuggling of alcohol,ಕವಟಗಿಮಠ ಮಹಂತೇಶ ಮಲ್ಲಿಕಾರ್ಜುನ,Kavatimata Mahantesha Mallikarjuna
1442,24/11/2016,ಗೃಹ,Home,ರಾಜ್ಯದಲ್ಲಿ ಮಕ್ಕಳ ನಾಪತ್ತೆ ಪ್ರಕರಣಗಳ ಹಾಗೂ ಅಪಹರಣಗಳು ಹೆಚ್ಚಾಗುತ್ತಿರುವ ಬಗ್ಗೆ,About increasing kidnapping cases and abductions in the state,ಕವಟಗಿಮಠ ಮಹಂತೇಶ ಮಲ್ಲಿಕಾರ್ಜುನ,Kavatimata Mahantesha Mallikarjuna
1443,24/11/2016,ಬೆಂಗಳೂರು ಅಭಿವೃದ್ಧಿ ಮತ್ತು ನಗರ ಯೋಜನಾ,Bangalore Development and Urban Planning,ಬೃಹತ್ ಬೆಂಗಳೂರು ಮಹಾನಗರ ಪಾಲಿಕೆ ವ್ಯಾಪ್ತಿಯಲ್ಲಿನ ಬಹುಮಹಡಿ ಕಟ್ಟಡಗಳ ಸುರಕ್ಷv,Security of multi-storey buildings in large Bangalore metropolitan area v,ಕೋಟ ಶ್ರೀನಿವಾಸ ಪೂಜಾರಿ,Kota Srinivasa Pujari
1444,24/11/2016,ಆರ್ಥಿಕ,Economy,ಓeತಿ Peಟಿsioಟಿ Sಛಿhemeಗೆ ಸರ್ಕಾರಿ ನೌಕರರ ಪಿಂಚಣಿ ಖಾತ್ರಿ ಹಾಗೂ ವೇತನ ತಾರತಮ್ಯ ಸರಿಪಡಿಸುವ ಬಗ್ಗೆ,About Government Employees' Pension Guarantee and Remediation of Wage Discrimination,ಕೋಟ ಶ್ರೀನಿವಾಸ ಪೂಜಾರಿ,Kota Srinivasa Pujari
1445,24/11/2016,ಸಿಬ್ಬಂದಿ ಮತ್ತು ಆಡಳಿತ ಸುಧಾರಣೆ,Staff and administrative reform,ಕಾಗದ ರಹಿತ ಕಛೇರಿ ಮತ್ತು ಪಾರದರ್ಶಕ ಆಡಳಿತ ಜಾರಿ ಕುರಿತು,About paper-free office and transparent administration enforcement,ಕೋಟ ಶ್ರೀನಿವಾಸ ಪೂಜಾರಿ,Kota Srinivasa Pujari
1446,24/11/2016,ಆರ್ಥಿಕ,Economy,ಸರ್ಕಾರದ ವಿವಿಧ ಇಲಾಖೆಗಳು ಜಾಹೀರಾತಿಗೆ ಮಾಡಿದ ವೆಚ್ಚದ ವಿವg,Explanation of the cost of advertising by various government departments,ಕೋಟ ಶ್ರೀನಿವಾಸ ಪೂಜಾರಿ,Kota Srinivasa Pujari
1447,24/11/2016,ಅಬಕಾರಿ,Excuse,ಅಬಕಾರಿ ಕಾಯ್ದೆಗೆ ತಿದ್ದುಪಡಿ ತಂದು ನೀರಾ ಮತ್ತು ನೀರಾ ಉತ್ಪನ್ನಗಳಿಗೆ ಅವಕಾಶ ನೀಡುವ ಬಗ್ಗೆ,Regarding the amendment to the Excise Act and allowing for water and water products,ಕೋಟ ಶ್ರೀನಿವಾಸ ಪೂಜಾರಿ,Kota Srinivasa Pujari
1448,24/11/2016,ನಗರ ಯೋಜನಾ,City planning,ಜಿ ಕೆಟಗರಿ ನಿವೇಶನಗಳ ಬಗ್ಗೆ,About G Kettari sites,ಕೊಂಡಯ್ಯ .ಕೆ.ಸಿ,Kondaiah KC
1449,24/11/2016,ಮಾಹಿತಿ ಮತ್ತು ಸಾರ್ವಜನಿಕ ಸಂಬಂಧ,Information and public relations,ಸ್ಪರ್ಧಾತ್ಮಕ ಪರೀಕ್ಷಾ ಅಭ್ಯರ್ಥಿಗಳಿಗೆ ತರಬೇತಿ ಕೇಂದ್ರಗಳನ್ನು ತೆರೆಯುವ ಬಗ್ಗೆ,Opening Training Centers for Competitive Test Candidates,ಕೊಂಡಯ್ಯ .ಕೆ.ಸಿ,Kondaiah KC
1450,24/11/2016,ಗೃಹ,Home,ಆಫ್ರಿಕನ್ ವಲಸಿಗರ ಬಗ್ಗೆ,About African Immigrants,ಕೊಂಡಯ್ಯ .ಕೆ.ಸಿ,Kondaiah KC
1451,24/11/2016,ಗೃಹ,Home,ಬೆಂಗಳೂರಿನಲ್ಲಿ ಅಕ್ರಮವಾಗಿ ವಾಸಿಸುತ್ತಿರುವ ವಿದೇಶಿಯರು,Foreigners living illegally in Bangalore,ತಾರಾಅನೂರಾಧ,Tara Anuradha
1452,24/11/2016,ಅಬಕಾರಿ,Excuse,ರಾಜ್ಯಗಳಲ್ಲಿನ ಬಾರ್ ಹಾಗೂ ಪಬ್‌ಗಳ ಅವಧಿಗಳ ಬಗ್ಗೆ,Regarding the periods of bars and pubs in the states,ತಾರಾಅನೂರಾಧ,Tara Anuradha
1453,24/11/2016,ನಗರ ಯೋಜನಾ,City planning,ಬಿ.ಎಂ.ಆರ್.ಸಿ.ಎಲ್.ನ ಸಿಬ್ಬಂದಿಗಳ ಬಗ್ಗೆ,About staff of BMRLL,ಚೌಡರೆಡ್ಡಿ ತೂಪಲ್ಲಿ .ಆರ್,Chowdareddy Tupalli R
1454,24/11/2016,ನಗರ ಯೋಜನಾ,City planning,ಬೆಂಗಳೂರು ಜಲಮಂಡಳಿಯಲ್ಲಿ ನೌಕರರ ವೇತನ ಶ್ರೇಣಿಗಳ ಬಗ್ಗೆ,About Employee Pay Ranks in Bangalore Waterfront,ಚೌಡರೆಡ್ಡಿ ತೂಪಲ್ಲಿ .ಆರ್,Chowdareddy Tupalli R
1455,24/11/2016,ಸಿಬ್ಬಂದಿ ಮತ್ತು ಆಡಳಿತ ಸುಧಾರಣೆ,Staff and administrative reform,ನೇಮಕಾತಿಯಲ್ಲಿನ ರೋಸ್ಟರ್ ಬಿಂದುಗಳ ಬಗ್ಗೆ,About the roster points in appointment,ಚೌಡರೆಡ್ಡಿ ತೂಪಲ್ಲಿ .ಆರ್,Chowdareddy Tupalli R
1456,24/11/2016,ಗೃ,Home,ಕಾವೇರಿ ಗಲಾಟೆಯಲ್ಲಿನ ಮೊಕದ್ದಮೆಗಳನ್ನು ಹಿಂಪಡೆಯುವ ಬಗ್ಗೆ,The withdrawal of lawsuits in the Cauvery riots,ಚೌಡರೆಡ್ಡಿ ತೂಪಲ್ಲಿ .ಆರ್,Chowdareddy Tupalli R
1457,24/11/2016,ನಗರಾಭಿವೃದ್ಧಿ,Urban development,ಬೃಹತ್ ಬೆಂಗಳೂರು ಮಹಾನಗರ ಪಾಲಿಕೆಯಲ್ಲಿ ಪೌರಕಾರ್ಮಿಕರನ್ನು ಖಾಯಂಗೊಳಿಸುವ ಬಗ್ಗೆ,About civic workers in the huge Bangalore metropolitan corporation,ಚೌಡರೆಡ್ಡಿ ತೂಪಲ್ಲಿ .ಆರ್,Chowdareddy Tupalli R
1458,24/11/2016,ನಗರಾಭಿವೃದ್ಧಿ,Urban development,ಮೈಸೂರು ಮಹಾನಗರಪಾಲಿಕೆ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಘನತ್ಯಾಜ್ಯ ವಿಲೇವಾರಿ,Solid Waste Disposal in the Mysore Metropolitan Area,ಧರ್ಮಸೇನ .ಆರ್,Dharmasena R
1459,24/11/2016,ನಗರ ಯೋಜನಾ,City planning,ಬೃಹತ್ ಬೆಂಗಳೂರು ಮಹಾನಗರ ಪಾಲಿಕೆ ಉದ್ಯಾನವನಗಳಲ್ಲಿ ಮನರಂಜನೆ ಕಾರ್ಯಕ್ರಮ ಏರ್ಪಡಿಸುವ ಬಗ್ಗೆ,About organizing entertainment programs in large Bangalore Metropolitan Parks,ಧರ್ಮಸೇನ .ಆರ್,Dharmasena R
1460,24/11/2016,ನಗರ ಯೋಜನಾ,City planning,ರೇಸ್‌ಕೋರ್ಸ್ ಸ್ಥಳಾಂತರ,Race Course Displacement,ಧರ್ಮಸೇನ .ಆರ್,Dharmasena R
1461,25/11/2016,ಗ್ರಾಮೀಣಾಭಿವೃದ್ಧಿ ಮತ್ತು ಪಂಚಾಯತ್ ರಾಜ್,Rural Development and Panchayat Raj,ಮಾನ್ವಿ ತಾಲ್ಲೂಕಿನ ಪೋತ್ನಾಳ ಗ್ರಾಮದ ಹತ್ತಿರ ಕುಡಿಯುವ ನೀರಿಗಾಗಿ ಕೆರೆ ನಿರ್ಮಾಣದ ಬಗ್ಗೆ,About lake construction for drinking water near Potnana village in Manvi taluk,ಬೋಸ್‌ರಾಜು .ಎನ್.ಎಸ್,Bosaraju N S
1462,25/11/2016,ಉನ್ನತ ಶಿಕ್ಷಣ,Higher education,ರಾಯಚೂರು-ಯಾದಗಿರಿ ಜಿಲ್ಲೆಗಳಲ್ಲಿ ವಿಶ್ವ ವಿದ್ಯಾಲಯ ಪ್ರಾರಂಭಿಸುವ ಬಗ್ಗೆ,About launching a university in Raichur-Yadgir districts,ಬೋಸ್‌ರಾಜು .ಎನ್.ಎಸ್,Bosaraju N S
1463,25/11/2016,ಸಾರಿಗೆ,Transport,ಮಾನ್ವಿ ಪಟ್ಟಣದಲ್ಲಿ ಬಸ್ ಡಿಪ್ಪೋ ನಿರ್ಮಾಣ ಮಾಡುವ ಬಗ್ಗೆ,About building bus dippo in Manvi town,ಬೋಸ್‌ರಾಜು .ಎನ್.ಎಸ್,Bosaraju N S
1464,25/11/2016,ಶಿಕ್ಷಣ,Education,ಹೈದ್ರಾಬಾದ್-ಕರ್ನಾಟಕ ಪ್ರದೇಶದಲ್ಲಿ ಗುಣಮಟ್ಟದ ಶಿಕ್ಷಣ ನೀಡುವ ಬಗ್ಗೆ,About providing quality education in the Hyderabad-Karnataka region,ಬೋಸ್‌ರಾಜು .ಎನ್.ಎಸ್,Bosaraju N S
1465,25/11/2016,ವಸತಿ,Housing,ವಿಶೇ? ವರ್ಗಗಳ ವಸತಿ ಯೋಜನೆ ಬಗ್ಗೆ,Is it okay? About the categories of residential planning,ಭಾನುಪ್ರಕಾಶ್,Bhanu Prakasha
1466,25/11/2016,ಗ್ರಾಮೀಣಾಭಿವೃದ್ಧಿ ಮತ್ತು ಪಂಚಾಯತ್,Rural Development and Panchayat,ಗ್ರಾಮ ಪಂಚಾಯ್ತಿಯ ವ್ಯಾಪ್ತಿಯ ಅಂಗಡಿ (ಮನೆ) ಕಟ್ಟಡಗಳನ್ನು ಸಕ್ರಮಗೊಳಿಸುವ ಬಗ್ಗೆ,Setting up Grama Panchayat Range Store (Homes) Buildings,ಸುನೀಲ್ ಸುಬ್ರಮಣಿ .ಎಂ.ಪಿ,Sunil Subramani M P
1467,25/11/2016,ಸಾರಿಗೆ,Transport,ರಾಜ್ಯಕ್ಕೆ ಅನ್ವಯವಾಗುವಂತೆ ಂಡಿeಚಿ Sಛಿheಜuಟe ಮಾಡುವ ಬಗ್ಗೆ,Think about how to make the state applicable to the state,ಸುನೀಲ್ ಸುಬ್ರಮಣಿ .ಎಂ.ಪಿ,Sunil Subramani M P
1468,25/11/2016,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಿಕ್ಷಣ,Primary and Secondary Education,ಅಲ್ಪಸಂಖ್ಯಾತರ ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ವಿದ್ಯಾರ್ಥಿ ವೇತನ ತಲುಪದಿರುವ ಬಗ್ಗೆ,Not to attend student scholarships for minority students,ಸುನೀಲ್ ಸುಬ್ರಮಣಿ .ಎಂ.ಪಿ,Sunil Subramani M P
1469,25/11/2016,ವಕ್ಛ್,Vachch,ರಾಜ್ಯದ ವಕ್ಛ್ ಬೋರ್ಡ್‌ಗೆ ನೀಡಲಾಗುವ ಅನುದಾನದ ಬಗ್ಗೆ,About grant of state wc board,ಸುನೀಲ್ ಸುಬ್ರಮಣಿ .ಎಂ.ಪಿ,Sunil Subramani M P
1470,25/11/2016,ವಸತಿ,Housing,ಕರ್ನಾಟಕ ರಾಜ್ಯವನ್ನು ಗುಡಿಸಲು ಮುಕ್ತ ರಾಜ್ಯವನ್ನಾಗಿ ಮಾಡುವ ಬಗ್ಗೆ,About making Karnataka State a hut-free state,ಸಯದ್ ಮುಧೀರ್ ಅಗಾ,Syed Madir Aga
1471,25/11/2016,ಗಣಿ ಮತ್ತು ಭೂವಿಜ್ಞಾನ,Mine and geology,ರಾಮನಗರ ಜಿಲ್ಲೆಯಲ್ಲಿನ ಮರಳು ಗಣಿಗಾರಿಕೆ ಬಗ್ಗೆ,About sand mining in Ramanagara district,ಸಯದ್ ಮುಧೀರ್ ಅಗಾ,Syed Madir Aga
1472,25/11/2016,ವಕ್ಫ್,Wakf,ವಕ್ಫ್ ಸಂಸ್ಥೆಗಳಿಗೆ ನೀಡಿರುವ ಅನುದಾನದ ಬಗ್ಗೆ,About the grant given to Wakf institutions,ಸಯದ್ ಮುಧೀರ್ ಅಗಾ,Syed Madir Aga
1473,25/11/2016,ಉನ್ನತ ಶಿಕ್ಷಣ,Higher education,ಖಾಸಗಿ ಅನುದಾನಿತ ಶೈಕ್ಷಣಿಕ ಸಂಸ್ಥೆಗಳ ಸಿಬ್ಬಂದಿಗಳ ಕಾಲ್ಪನಿಕ ವೇತನ ಸಮಸ್ಯೆ ಕುರಿತು,Concerns about the fictional salary issue of the staff of private subsidiary educational institutions,ಸಂಕನೂರ .ಎಸ್.ವ್ಹಿ,Sankanura S V
1474,25/11/2016,ಗ್ರಾಮೀಣಾಭಿವೃದ್ಧಿ ಮತ್ತು ಪಂಚಾಯತ್ ರಾಜ್,Rural Development and Panchayat Raj,ಗ್ರಾಮ ಪಂಚಾಯತಿಗಳ ವ್ಯಾಪ್ತಿಗಳ ಸಕಾಲದಲ್ಲಿ ಸಾರ್ವಜನಿಕರಿಗೆ ಸೌಲಭ್ಯಗಳ ಬಗ್ಗೆ,About the benefits of the public at the time of the Village Panchayat ranges,ಸಮಣ್ಣ ಮ ಬೇವಿನಮರದ,Samanna Ma Bevinamara
1475,25/11/2016,ಗ್ರಾಮೀಣಾಭಿವೃದ್ಧಿ ಮತ್ತು ಪಂಚಾಯತ್ ರಾಜ್,Rural Development and Panchayat Raj,ರಾಜ್ಯದಲ್ಲಿನ ನಮ್ಮ ಗ್ರಾಮ ರಸ್ತೆಗಳ ಬಗ್ಗೆ,About our village roads in the state,ಸಮಣ್ಣ ಮ ಬೇವಿನಮರದ,Samanna Ma Bevinamara
1476,25/11/2016,ಸಾರಿಗೆ,Transport,ಸಾರಿಗೆ ಬಸ್ ಘಟಕಗಳ ಬಗ್ಗೆ,About transport bus units,ಸಮಣ್ಣ ಮ ಬೇವಿನಮರದ,Samanna Ma Bevinamara
1477,25/11/2016,ಗ್ರಾಮೀಣಾಭಿವೃದ್ಧಿ ಮತ್ತು ಪಂಚಾಯತ್ ರಾಜ್,Rural Development and Panchayat Raj,ಉದ್ಯೋಗ ಖಾತ್ರಿ ಮತ್ತು ನರೇಗಾ ಯೋಜನೆಯಲ್ಲಿನ ಅಕ್ರಮಗಳ ಕುರಿತು,Regarding irregularities in employment guarantee and Narega scheme,ಸೋಮಣ್ಣ .ವಿ,Somanna V
1478,25/11/2016,ಸಾರಿಗೆ,Transport,ಚಾಮರಾಜನಗರದಲ್ಲಿ ಹೈಟೆಕ್ ಬಸ್ ನಿಲ್ದಾಣ,High tech bus stand in Chamarajanagar,ನಾಗರಾಜು .ಎಸ್,Nagaraja S
1479,25/11/2016,ಮೂಲಸೌಲಭ್ಯ ಅಭಿವೃದ್ಧಿ,Infrastructure Development,ಕೆಂಗೇರಿ-ಕನಕಪುರ-ಚಾಮರಾಜನಗರ ರೈಲ್ವೆ ಮಾರ್ಗ.,Kengeri-Kanakapura-Chamarajanagar railway line.,ನಾಗರಾಜು .ಎಸ್,Nagaraja S
1480,25/11/2016,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಿಕ್ಷಣ,Primary and Secondary Education,ಚಾಮರಾಜನಗರ ಜಿಲ್ಲೆಯಲ್ಲಿ ಪ್ರಾಥಮಿಕ ಶಾಲಾ ಕೊಠಡಿಗಳ ಕೊರತೆ ಬಗ್ಗೆ,About lack of elementary school rooms in Chamarajanagar district,ನಾಗರಾಜು .ಎಸ್,Nagaraja S
1481,25/11/2016,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ,Large and medium enterprise,ಮೈಸೂರು ನಗರದಲ್ಲಿ ಕರ್ನಾಟಕ ಸಾಬೂನು ಮತ್ತು ಮಾರ್ಜಕ ಕಾರ್ಖಾನೆಗೆ ಸೇರಿದ ಭೂಮಿ ರಕ್ಷಣೆ ಬಗ್ಗೆ,About land protection from Karnataka Soap and Detergent Factory in Mysore,ನಾಗರಾಜು .ಎಸ್,Nagaraja S
1482,25/11/2016,ಉನ್ನತ ಶಿಕ್ಷಣ ಸಚಿವರು,Higher Education Minister,ರಾಜ್ಯದಲ್ಲಿ ಸರ್ಕಾರಿ ಪದವಿ ಕಾಲೇಜುಗಳಲ್ಲಿರುವ ಅತಿಥಿ ಉಪನ್ಯಾಸಕರ ಹುದ್ದೆ ಬಗ್ಗೆ,About the post of Guest Lecturer in Government Degree Colleges in the State,ನಿರಾಣಿ ಹಣಮಂತ್ ರುದ್ರಪ್ಪ,Nirani Hanumanth Rudrappa
1483,25/11/2016,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಿಕ್ಷಣ,Primary and Secondary Education,ರಾಷ್ಟ್ರೀಯ ಮಾಧ್ಯಮ ಶಿಕ್ಷಣ ಯೋಜನೆಯನ್ನು ಅನು?ನಗೊಳಿಸುವ ಬಗ್ಗೆ,About the dismantling of the National Media Education Plan,ನಿರಾಣಿ ಹಣಮಂತ್ ರುದ್ರಪ್ಪ,Nirani Hanumanth Rudrappa
1484,25/11/2016,ಗ್ರಾಮೀಣಾಭಿವೃದ್ಧಿ ಮತ್ತು ಪಂಚಾಯತ್ ರಾಜ್,Rural Development and Panchayat Raj,ಗ್ರಾಮ ಪಂಚಾಯತಿಗಳ ನಗರೀಕರಣ ಮತ್ತು ಅನುದಾನದ ಕುರಿತು,About the urbanization and grants of Gram Panchayats,ಪ್ರದೀಪ್ ಶೆಟ್ಟರ್,Pradeep Shettar
1485,25/11/2016,ಹಿಂದುಳಿದ ವರ್ಗಗಳ ಕಲ್ಯಾಣ,Welfare of Backward Classes,ಪರಿಶಿ? ಜಾತಿ ಮತ್ತು ಪರಿಶಿ? ಪಂಗಡ ವರ್ಗಕ್ಕೆ ಕಾಯ್ದಿರಿಸಿರುವ ಅನುದಾನದ ಕುರಿತು,The survey? Caste and Survey? About the grant reserved for the Tribe category,ಪ್ರದೀಪ್ ಶೆಟ್ಟರ್,Pradeep Shettar
1486,25/11/2016,ಗ್ರಾಮೀಣಾಭಿವೃದ್ಧಿ ಮತ್ತು ಪಂಚಾಯತ್ ರಾಜ್,Rural Development and Panchayat Raj,ನರೇಗಾ ಯೋಜನೆಯ ಕುರಿತು,About the Narega Project,ಪ್ರದೀಪ್ ಶೆಟ್ಟರ್,Pradeep Shettar
1487,25/11/2016,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಿಕ್ಷಣ,Primary and Secondary Education,ಂಥಾಲಯ ಇಲಾಖೆಯ ಸೆಸ್ ಕುರಿತು,About CES of Department of Culture,ಪ್ರದೀಪ್ ಶೆಟ್ಟರ್,Pradeep Shettar
1488,25/11/2016,ವಸತಿ,Housing,ವಸತಿ ಯೋಜನೆಗಳ ಕುರಿತು,About Real Estate Plans,ಪ್ರದೀಪ್ ಶೆಟ್ಟರ್,Pradeep Shettar
1489,25/11/2016,ಗ್ರಾಮೀಣಾಭಿವೃದ್ಧಿ ಮತ್ತು ಪಂಚಾಯತ್ ರಾಜ್,Rural Development and Panchayat Raj,ಗ್ರಾಮ ಪಂಚಾಯತಿಗಳ ತೆರಿಗೆ ವಸೂಲಿ ಕುರಿತು,About Gram Panchayats Tax Deduction,ಪ್ರಾಣೇಶ್ .ಎಂ.ಕೆ,Pranesha M K
1490,25/11/2016,ಗ್ರಾಮೀಣಾಭಿವೃದ್ಧಿ ಮತ್ತು ಪಂಚಾಯತ್ ರಾಜ್,Rural Development and Panchayat Raj,ಪಂಚತಂತ್ರ ದಾಖಲೆಗಳನ್ನು ಬಲಪಡಿಸುವ ಕುರಿತು,About strengthening the Panchatantra records,ಪ್ರಾಣೇಶ್ .ಎಂ.ಕೆ,Pranesha M K
1491,25/11/2016,ವಸತಿ,Housing,ಚಿಕ್ಕಮಗಳೂರು ಜಿಲ್ಲೆಯ ವಸತಿ ರಹಿತರ ಕುರಿತು,About Non-Housing In Chikmagalur District,ಪ್ರಾಣೇಶ್ .ಎಂ.ಕೆ,Pranesha M K
1492,25/11/2016,ವಸತಿ,Housing,ಆಶ್ರಯ ವಸತಿ ಯೋಜನೆಯ ಸಾಲಮನ್ನಾ ಮತ್ತು ಭೂ ಅಡಮಾನ ಮುಕ್ತಗೊಳಿಸುವ ಬಗೆ,How to free loan mortgage and land mortgage for shelter housing scheme,ಪ್ರತಾಪಚಂದ್ರ ಶೆಟ್ಟಿ .ಕೆ,Pratapachandra Shetty K
1493,25/11/2016,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಿಕ್ಷಣ,Primary and Secondary Education,ಪ್ರೌಢ ಶಾಲೆಗಳ ಮಂಜೂರಾತಿಯ ಪ್ರಸ್ತಾವನೆ ಬಗೆ,Approval approval of high schools,ಪ್ರತಾಪಚಂದ್ರ ಶೆಟ್ಟಿ .ಕೆ,Pratapachandra Shetty K
1494,25/11/2016,ಗ್ರಾಮೀಣಾಭಿವೃದ್ಧಿ ಮತ್ತು ಪಂಚಾಯತ್ ರಾಜ್,Rural Development and Panchayat Raj,ಗ್ರಾಮ ಪಂಚಾಯತಿಗಳಲ್ಲಿ ಆನ್‌ಲೈನ್ ಮೂಲಕ ಖಾತೆ ಬದಲಾವಣೆಯಾಗದಿರುವ ಬಗ್ಗೆ,Regardless of account change through online in Gram Panchayats,ಪ್ರತಾಪಚಂದ್ರ ಶೆಟ್ಟಿ .ಕೆ,Pratapachandra Shetty K
1495,25/11/2016,ಗ್ರಾಮೀಣಾಭಿವೃದ್ಧಿ ಮತ್ತು ಪಂಚಾಯತ್ ರಾe,Rural Development and Panchayat RA e,ಬೇಸಿಗೆಯಲ್ಲಿ ಕುಡಿಯುವ ನೀರಿನ ಪೂರೈಕೆ ಸಂಬಂಧ ಬಾಕಿ ಅನುದಾನ ಕುರಿತು,About the grant outstanding on the supply of drinking water in the summer,ಪ್ರತಾಪಚಂದ್ರ ಶೆಟ್ಟಿ .ಕೆ,Pratapachandra Shetty K
1496,25/11/2016,ವಸತಿ,Housing,ಸರ್ಕಾರಿ ನಿವೇಶನಗಳಿಗೆ ಮೂಲಭೂತ ಸೌಕರ್ಯ ಒದಗಿಸುವುದು,Providing infrastructure to government sites,ಪ್ರತಾಪಚಂದ್ರ ಶೆಟ್ಟಿ .ಕೆ,Pratapachandra Shetty K
1497,25/11/2016,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಿಕ್ಷಣ,Primary and Secondary Education,೨೦೦೮ರ ನಂತರ ನೇಮಕಾತಿಯಾದ ಶಿಕ್ಷಕರಿಗೆ ವಿಶೇ? ಭತ್ಯೆ ಮಂಜೂರು ಮಾಡುವ ಬಗ್ಗೆ,Want to be recruited teachers after 2008? About grant of allowance,ಪುಟ್ಟಣ್ಣ,Puttanna
1498,25/11/2016,ಉನ್ನತ ಶಿಕ್ಷಣ,Higher education,ಯು.ಜಿ.ಸಿ. ಬಾಕಿ ವೇತನ ನೀಡುವ ಬಗ್ಗೆ,UGC About paying outstanding pay,ಪುಟ್ಟಣ್ಣ,Puttanna
1499,25/11/2016,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಿಕ್ಷಣ,Primary and Secondary Education,ಸರ್ಕಾರಿ ಪದವಿ ಪೂರ್ವ ಕಾಲೇಜು ಉಪನ್ಯಾಸಕರಿಗೆ ಸ್ಥಾನೀಕರಣ ಬಡ್ತಿ ನೀಡುವ ಬಗ್ಗೆ,About promotion of positions for Government pre-college lecturers,ಪುಟ್ಟಣ್ಣ,Puttanna
1500,25/11/2016,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಿಕ್ಷಣ,Primary and Secondary Education,ಅನುದಾನಿತ ಶಾಲೆಗಳಲ್ಲಿ ಖಾಲಿ ಇರುವ ಹುದ್ದೆಗಳ ಭರ್ತಿಗೆ ಅನುಮತಿ ನೀಡುವ ಬಗ್ಗೆ,About permitting filling up vacant posts in aided schools,ಪುಟ್ಟಣ್ಣ,Puttanna
1501,25/11/2016,ಗ್ರಾಮೀಣಾಭಿವೃದ್ಧಿ ಮತ್ತು ಪಂಚಾಯತ್ ರಾಜ್,Rural Development and Panchayat Raj,ಕಲಬುರಗಿ ಮತ್ತು ಯಾದಗಿರಿ ಜಿಲ್ಲೆಗಳಲ್ಲಿ ಹೊಸದಾಗಿ ರಚಿಸಲಾಗಿರುವ ಗ್ರಾಮ ಪಂಚಾಯತಿಗಳ ಬಗ್ಗೆ,About newly created village panchayats in Kalaburagi and Yadgir districts,ಪಾಟೀಲ್ .ಬಿ.ಜಿ,Patil B G
1502,25/11/2016,ಗ್ರಾಮೀಣಾಭಿವೃದ್ಧಿ ಮತ್ತು ಪಂಚಾಯತ್ ರಾಜ್,Rural Development and Panchayat Raj,ರಾಜ್ಯದಲ್ಲಿರುವ ಗ್ರಾಮ ಪಂಚಾಯತಿಗಳ ಬಗ್ಗೆ,About Gram Panchayats in the State,ಪಾಟೀಲ್ .ಬಿ.ಜಿ,Patil B G
1503,25/11/2016,ಗ್ರಾಮೀಣಾಭಿವೃದ್ಧಿ ಮತ್ತು ಪಂಚಾಯತ್ ರಾಜ್,Rural Development and Panchayat Raj,ಕಲಬುರಗಿ ಕಂದಾಯ ವಿಭಾಗದಲ್ಲಿ ಸ್ಥಾಪಿಸಿರುವ ಶುದ್ಧ ನೀರಿನ ಘಟಕಗಳ ಬಗ್ಗೆ,About Pure Water Plants Established in the Revenue Division of Art,ಪಾಟೀಲ್ .ಬಿ.ಜಿ,Patil B G
1504,25/11/2016,ಸಣ್ಣ ಕೈಗಾರಿಕೆ,Small industry,ಕಲಬುರಗಿ ಮತ್ತು ಯಾದಗಿರಿ ಜಿಲ್ಲೆಗಳಲ್ಲಿರುವ ದಾಲ್ ಮಿಲ್‌ಗಳ ಬಗ್ಗೆ,About Dall Mills in Kalaburagi and Yadgir Districts,ಪಾಟೀಲ್ .ಬಿ.ಜಿ,Patil B G
