Sl No.,Date,Ministry (Kannada),Ministry (English Translation),Subject (Kannada),Subject (English Translation),MLA name (Kannada),MLA name (English Translation)
367,12/02/2013,ಕಂದಾಯ,Revenue,ಕಂದಾಯ ಜಮೀನುಗಳ ಬಗ್ಗೆ,About Revenue Land,ಕುಮಾರಸ್ವಾಮಿ ಕೆ.ಜೆ,Kumaraswamy KJ
368,12/02/2013,ಕಂದಾಯ,Revenue,ರಾಮಲಿಂಗೇಶ್ವರ ಮಠದ ಜಮೀನು,Land of Ramalingeswara Math,ಕುಮಾರಸ್ವಾಮಿ ಕೆ.ಜೆ,Kumaraswamy KJ
369,12/02/2013,ಕಂದಾಯ,Revenue,ಸಿ ಮತ್ತು ಡಿ ಜಮೀನುಗಳು,C and D Lands,ಕುಮಾರಸ್ವಾಮಿ ಕೆ.ಜೆ,Kumaraswamy KJ
370,12/02/2013,ಕಂದಾಯ,Revenue,ರಾಮಲಿಂಗೇಶ್ವರ ಮಠ,Ramalingeswara Math,ಕುಮಾರಸ್ವಾಮಿ ಕೆ.ಜೆ,Kumaraswamy KJ
371,12/02/2013,ಪ್ರವಾಸೋಧ್ಯಮ,Tourism,ಪ್ರವಾಸೋದ್ಯಮ ಅಭಿವೃದ್ಧಿ,Tourism Development,ಲಾಲಾಜಿ ಆರ್ .ಮೆಂಡನ್,Lalaji R   Mendon
372,12/02/2013,ಕಂದಾಯ,Revenue,ಕಂದಾಯ ಇಲಾಖೆಯಿಂದ ಬಂದ ಆದಾಯ,Revenue from Revenue Department,ಮಂಜು ಎ.,Manju A
373,12/02/2013,ಆರ್ಥಿಕ,Economy,ವಿವಿಧ ಇಲಾಖೆಗಳಿಂದ ಸರ್ಕಾರಕ್ಕೆ ಬಂದ ಆದಾಯ,Revenue from Government from various departments,ಮಂಜು ಎ.,Manju A
374,12/02/2013,ಆರ್ಥಿಕ,Economy,ಸಾಲ ಮನ್ನಾ ಯೋಜನೆಗೆ ಘೋಷಿಸಲಾದ ಅನುದಾನ,Grants announced for loan waiver scheme,ಮಂಜು ಎ.,Manju A
375,12/02/2013,ನಗರಾಭಿವೃದ್ಧಿ,Urban development,ಆಯವ್ಯಯ ಘೋಷಿಸಿರುವ ಯೋಜನೆಗಳ ಕುರಿತು,About the budget announced plans,ಮಂಜು ಎ.,Manju A
376,12/02/2013,ಯುವಜನ ಸೇವೆ ಮತ್ತು ಕ್ರೀಡೆ,Youth Service and Sports,ಆಯವ್ಯಯ ಘೋಷಿಸಿರುವ ಯೋಜನೆಗಳ ಕುರಿತು,About the budget announced plans,ಮಂಜು ಎ.,Manju A
377,12/02/2013,ಕಂದಾಯ,Revenue,ಸಾಗುವಳಿದಾರರಿಗೆ ಜಮೀನು ಮಂಜೂರಾತಿ,Land sanctioned to growers,ಮಂಜುನಾಥ್ ಹೆಚ್.ಪಿ.,Manjunath H P 
378,12/02/2013,ಕಂದಾಯ,Revenue,ಗಿರಿಜನರಿಗೆ ಹಕ್ಕುಪತ್ರ (RTCನೀಡುವ ವಿಚಾರ),Patent for Giri (RTC Issue),ಮಂಜುನಾಥ್ ಹೆಚ್.ಪಿ.,Manjunath H P 
379,12/02/2013,ಕಂದಾಯ,Revenue,ಸಾಗುವಳಿ ಚೀಟಿ ಮಂಜೂರಾತಿ,Crop Certificate sanctioned,ಮಂಜುನಾಥ್ ಹೆಚ್.ಪಿ.,Manjunath H P 
380,12/02/2013,ಹಜ್ ಮತ್ತು ವಕ್ಫ್,Haj and Wakf,ಮಸೀದಿ ಹಾಗೂ ಶಾದಿ ಮಹಲ್ ಗಳು,Mosque and Shadi Mahal,ನಾಡಗೌಡ ವೆಂಕಟರಾವ್,Nadgowda Venkatrao
381,12/02/2013,ಕಂದಾಯ,Revenue,ಕೆರೆ ಒತ್ತುವರಿ ಮಾಡಿರುವುದು,Lake Enclosure,ನಾಗರಾಜು ಎಂ.ವಿ,Nagaraju MV
382,12/02/2013,ಯುವಜನ ಸೇವೆ ಮತ್ತು ಕ್ರೀಡೆ,Youth Service and Sports,ಕ್ರೀಡಾಂಗಣಗಳ ಕಾಮಗಾರಿಗಳ ವಿಳಂಬ,Delay of stadiums work,ನರೇಂದ್ರ ಬಾಬು ನೆ.ಲ.,Narendra Babu N L 
383,12/02/2013,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ಅಲ್ವಸಂಖ್ಯಾತರ ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ನೀಡಲಾಗುತ್ತಿರುವ ಸೌಲಭ್ಯಗಳು,Facilities offered to Alumni students,ನರೇಂದ್ರ ಬಾಬು ನೆ.ಲ.,Narendra Babu N L 
384,12/02/2013,ಜಲಮಂಡಳಿ,Waterfalls,ಕುಡಿಯುವ ನೀರಿಗಾಗಿ ಜಲಮಂಡಳಿಯಿಂದ ಪರ್ಯಾಯ ವ್ಯವಸ್ಥೆ,An alternative system for watering water for drinking water,ನರೇಂದ್ರ ಬಾಬು ನೆ.ಲ.,Narendra Babu N L 
385,12/02/2013,ಕಂದಾಯ,Revenue,ಸಂಧ್ಯಾ ಸುರಕ್ಷಾ ಯೋಜನೆ ಮಂಜೂರಾತಿ,Santhya Suraksha Project sanctioned,ನೇಂದ್ರಬಾಬು ನೆ.ಲ.,Nandrababu N L 
386,12/02/2013,ಗೃಹ,Home,ಮರಳು ಸಾಗಾಣಿಕೆ ಹಾಗೂ ರಸ್ತೆಯ ದುರಸ್ತಿ,Sand transport and road repair,ನರೇಂದ್ರ ಸ್ವಾಮಿ ಪಿ.ಎಮ್,Narendra Swami PM
387,12/02/2013,ಕಂದಾಯ,Revenue,ಬರ ನಿರ್ವಹಣೆ,Drought management,ನರೇಂದ್ರ ಸ್ವಾಮಿ ಪಿ.ಎಮ್,Narendra Swami PM
388,12/02/2013,ಕಂದಾಯ,Revenue,ಪ್ರಕೃತಿ ವಿಕೋಪಕ್ಕೆ ಬೆಳೆ ನಷ್ಟಗೊಂಡ ರೈತರಿಗೆ ಪರಿಹಾರ,Relief for farmers who have cropped up to natural disasters,ರಾಜು ಕೆ.,Raju K 
389,12/02/2013,ಜಲಮಂಡಳಿ,Waterfalls,ಅನಧಿಕೃತ ನೀರಿನ ಸಂಪರ್ಕಗಳು,Unauthorized water connections,ರಾಮಲಿಂಗಾ ರೆಡ್ಡಿ,Ramalinga Reddy
390,12/02/2013,ನಗರಾಭಿವೃದ್ಧಿ,Urban development,ಬೆಂಗಳೂರಿನ ಕಸ ವಿಲೇವಾರಿಗೆ ಪ್ರತ್ಯೇಕ ವ್ಯವಸ್ಥೆ,Separate arrangement for garbage disposal in Bangalore,ರಾಮಲಿಂಗಾ ರೆಡ್ಡಿ,Ramalinga Reddy
391,12/02/2013,ವಸತಿ,Housing,ನಿವೇಶನಗಳ ಹಂಚಿಕೆ,Distribution of sites,ರಾಮಲಿಂಗಾ ರೆಡ್ಡಿ,Ramalinga Reddy
392,12/02/2013,ಆರ್ಥಿಕ,Economy,ವಿಷೇಶ ವಿಮಾನ ಪ್ರಯಾಣ,Special Flight Travel,ರಾಮಲಿಂಗಾ ರೆಡ್ಡಿ,Ramalinga Reddy
393,12/02/2013,ಆರ್ಥಿಕ,Economy,ಬಿ.ಬಿ.ಎಂ.ಪಿ.ಗೆ ಬರಬೇಕಾದ ಬಾಕಿ ಆಸ್ತಿ ತೆರಿಗೆ,Property tax deduction for BBMP,ರಾಮಲಿಂಗಾ ರೆಡ್ಡಿ,Ramalinga Reddy
394,12/02/2013,ಜಲಮಂಡಳಿ,Waterfalls,Recycle ಆದ ನೀರಿನ ಬಳಕೆ,Recycle's water use,ರವಿಸುಬ್ರಮಣ್ಯ ಎಲ್.ಎ,Ravi Brammanya L A 
395,12/02/2013,ಆರ್ಥಿಕ,Economy,ರಾಷ್ಟ್ರೀಕೃತ ಬ್ಯಾಂಕ್ ಗಳಲ್ಲಿ ರೈತರ ಸಾಲ ಮನ್ನಾ,Farmers' debt waiver on nationalized banks,ರವಿಸುಬ್ರಮಣ್ಯ ಎಲ್.ಎ,Ravi Brammanya L A 
396,12/02/2013,ನಗರಾಭಿವೃದ್ಧಿ,Urban development,ಕೆರೆಗಳ ಅಭಿವೃದ್ಧಿ,Development of lakes,ರೋಷನ್ ಬೇಗ್ ಆರ್.,Roshan Baig R 
397,12/02/2013,ಕಂದಾಯ,Revenue,ನೌಕರರನ್ನು ಖಾಯಂಗೊಳಿಸುವುದು,Employee Employees,ರುದ್ರೇಶ್ ಗೌಡ ವೈ.ಎನ್.,Rudresh Gowda Y N 
398,12/02/2013,ಪ್ರವಾಸೋದ್ಯಮ,Tourism,ಪ್ರವಾಸಿಗರ ವಾಹನ ನಿಲುಗಡೆ,Tourist car park,ರುದ್ರೇಶ್ ಗೌಡ ವೈ.ಎನ್.,Rudresh Gowda Y N 
399,12/02/2013,ಕಂದಾಯ,Revenue,ಸರ್ಕಾರಿ ಜಮೀನಿನ ಮಾಹಿತಿ,Government land information,ಸತ್ಯನಾರಾಯಣ ಎಂ.,Sathyanarayana M 
400,12/02/2013,ಕಂದಾಯ,Revenue,ಪಿಂಚಣಿ ಹಣದ ವಿಳಂಬ,Pension Money Delay,ಸತ್ಯನಾರಾಯಣ ಎಂ.,Sathyanarayana M 
401,12/02/2013,ಸಹಕಾರ,Cooperation,ಸಹಕಾರ ಸಂಘಗಳ ಮಾಹಿತಿ,Co-operative Societies Information,ಸತ್ಯನಾರಾಯಣ ಎಂ.,Sathyanarayana M 
402,12/02/2013,ನಗರಾಭಿವೃದ್ಧಿ,Urban development,ಬಹು ಅಂತಸ್ತಿನ ಕಟ್ಟಡಗಳ ಸಮಸ್ಯೆ,The problem of multi-storey buildings,ಶ್ರೀನಿವಾಸ್ ಎಂ.,Srinivas M 
403,12/02/2013,ಗ್ರಾಮೀಣಾಭಿವೃದ್ಧಿ ಮತ್ತು ಪಂಚಾಯತ್ ರಾಜ್,Rural Development and Panchayat Raj,ಬರ -ಪರಿಹಾರ ಯೋಜನೆ,Drought-plan planning,ಸುರೇಶ್ ಬಾಬು ಸಿ.ಬಿ.,Suresh Babu CB
404,12/02/2013,ಸಹಕಾರ,Cooperation,ಕೃಷಿ ಸಾಲದ ಬಡ್ಡಿ ಸಹಾಯಧನ,Agricultural Loan Interest Subsidy,ವಸಂತ ಬಂಗೇರ ಕೆ.,Vasanth Bangera K 
405,12/02/2013,ಕಂದಾಯ,Revenue,ಭೂಕಬಳಿಕೆ ನಿಷೇಧ ಕಾಯ್ದೆ ಜಾರಿ,Enforcement of Land Acquisition Act,ವಸಂತ ಬಂಗೇರ ಕೆ.,Vasanth Bangera K 
406,12/02/2013,ಸಹಕಾರ,Cooperation,ಏತ ತೀರುವಳಿ ಯೋಜನೆ,What to do with the plan,ವಸಂತ ಬಂಗೇರ ಕೆ.,Vasanth Bangera K 
407,12/02/2013,ಕಂದಾಯ,Revenue,ಬರ ಪರಿಹಾರ ಕೇಂದ್ರ ಸರ್ಕಾರದಿಂದ ಬಿಡುಗಡೆ ಅನುದಾನ,Release from Government of Drought Relief Center,ವಸಂತ ಬಂಗೇರ ಕೆ.,Vasanth Bangera K 
408,15/07/2013,ಭಾರಿ ಮತ್ತು ಮಧ್ಯಮ ನೀರಾವರಿ,Heavy and medium irrigation,ಕೆ.ಬಿ.ಜೆ.ಎನ್.ಎಲ್ ನಲ್ಲಿ ಎಸ್.ಸಿ.ಪಿ. ಮತ್ತು ಟಿ.ಎಸ್.ಪಿ. ಅಡಿಯಲ್ಲಿ ಕಾಮಗಾರಿಗಳು,SCP in KBJLL And TSP. Works under,ರಾಜಾ ವೆಂಕಟಪ್ಪ ನಾಯಕ,Raja Venkatappa is the leader
409,15/07/2013,ಭಾರಿ ಮತ್ತು ಮಧ್ಯಮ ನೀರಾವರಿ,Heavy and medium irrigation,ತುಂಗಾ ಮೇಲ್ದಂಡೆ ಯೋಜನೆ,Tungsten Upstairs Project,ಕೋಳಿವಾಡ ಕೆ.ಬಿ.,Kolivada kb
410,15/07/2013,ಮುಜರಾಯಿ,Muzarai,ಮೇಲುಕೋಟೆ ದೇವಾಲಯದ ಆಭರಣಗಳ ಕಳುವು,Melukote temple stolen jewelery,ಚೆಲುವರಾಯಸ್ವಾಮಿ,Cheluvaraswamy
411,15/07/2013,ಅರಣ್ಯ,Forest,ರಾಜ್ಯದಲ್ಲಿರುವ ಡೀಮ್ಡ್ ಫಾರೆಸ್ಟ್ ವಿವರ,Desied Forest Profile in the State,ರವಿ ಸಿ.ಟಿ.,Ravi CT
412,15/07/2013,ಅರಣ್ಯ,Forest,ಕಾಡಾನೆಯ ಹಾವಳಿಯನ್ನು ತಪ್ಪಿಸುವ ಕುರಿತು,About Avoiding the Cadaver's Clown,ರವಿ ಸುಬ್ರಮಣ್ಯ ಎಲ್.ಎ.,Ravi Subramanya L A 
413,15/07/2013,ಅರಣ್ಯ,Forest,ಬೀದರ್ ನಲ್ಲಿ ಪ್ರಾಣಿ ಸಂಗ್ರಹಾಲಯ ಸ್ಥಾಪನೆ,Establishment of Zoo at Bidar,ಗುರುಪಾದಪ್ಪ ನಾಗಮಾರಪಲ್ಲಿ,Guruparappa Nagamarapally
414,15/07/2013,ಅರಣ್ಯ,Forest,ಅರಣ್ಯಾಭಿವೃದ್ಧಿ,Development,ಈಶ್ವರ್ ಭೀಮಣ್ಣ ಖಂಡ್ರೆ,Ishwar Bhimanna Khandre
415,15/07/2013,ಅರಣ್ಯ,Forest,ಅರಣ್ಯ ಪ್ರದೇಶದ ಶೇಕಡಾವಾರು ವಿವರ,Percentage Profile of Forest Area,ಶಿವಶಂಕರ ರೆಡ್ಡಿ ಎನ್. ಹೆಚ್.,Shivshankar Reddy N  H 
416,15/07/2013,ಭಾರೀ ಮತ್ತು ಮಧ್ಯಮ ನೀರಾವರಿ,Heavy and medium irrigation,ಏತ ನೀರಾವರಿ,Where irrigation,ರಾಜೀವ್ ಪಿ.,Rajiv P 
417,15/07/2013,ಭಾರೀ ಮತ್ತು ಮಧ್ಯಮ ನೀರಾವರಿ,Heavy and medium irrigation,ಮುದ್ದೇಬಿಹಾಳ - ಆಲಮಟ್ಟಿ ಮುಖ್ಯ ರಸ್ತೆ ಅಭಿವೃದ್ಧಿ ಕುರಿತು,Muddebahala - Alamatti on main road development,ಅಪ್ಪಾಜಿ ಚನ್ನಬಸವರಾಜ್ ಶಂಕರರಾವ್ ನಾಡಗೌಡ,Appaji Chanabasavaraj Shankarrao Nadgowda
418,15/07/2013,ಸಣ್ಣ ಕೈಗಾರಿಕೆ,Small industry,ಸಣ್ಣ ಕೈಗಾರಿಕಾ ವಸಾಹತುಗಳು,Small industrial colonies,ಜಗದೀಶ್ ಕುಮಾರ್ ಆರ್.,Jagdish Kumar R 
419,15/07/2013,ಕಂದಾಯ,Revenue,ಸಿಬ್ಬಂದಿಗಳ ಕೊರತೆ,Lack of staff,ಮಾನಪ್ಪ ಡಿ. ವಜ್ಜಲ್,Manappa D  Vajzal
420,15/07/2013,ಕಂದಾಯ,Revenue,ದಾಖಲೆಯ ಪ್ರತಿಗಳನ್ನು ಪಡೆಯಲು ರೈತರಿಗೆ ತೊಂದರೆ ಆಗುತ್ತಿರುವುದು,Farmers are having trouble getting record copies,ಬಣಕಾರ್ ಯು.ಬಿ.,Banakar UB
421,15/07/2013,ಕಾರ್ಮಿಕ,Labor,ಉದ್ಯೋಗ ಮತ್ತು ತರಬೇತಿ ಇಲಾಖೆಯಲ್ಲಿ ಜೆ.ಟಿ.ಓ. ಹುದ್ದೆಗೆ ನೇಮಕಾತಿ,JTO in Employment and Training Department Appointment to the post,ತನ್ವೀರ್ ಸೇಠ್,Tanvir Seth
422,15/07/2013,ಸಣ್ಣ ಕೈಗಾರಿಕೆ,Small industry,ಅನುದಾನ ಮಂಜೂರು,Grant grants,ಅಪ್ಪಾಜಿ ಚನ್ನಬಸವರಾಜ್ ಶಂಕರರಾವ್ ನಾಡಗೌಡ,Appaji Chanabasavaraj Shankarrao Nadgowda
423,15/07/2013,ಕಂದಾಯ,Revenue,ಅನುದಾನ ಬಿಡುಗಡೆ,Grant Release,ಅಪ್ಪಾಜಿ ಚನ್ನಬಸವರಾಜ್ ಶಂಕರರಾವ್ ನಾಡಗೌಡ,Appaji Chanabasavaraj Shankarrao Nadgowda
424,15/07/2013,ಸಣ್ಣ ನೀರಾವರಿ,Small irrigation,ಅನುದಾನ ಬಿಡುಗಡೆ,Grant Release,ಅಪ್ಪಾಜಿ ಚನ್ನಬಸವರಾಜ್ ಶಂಕರರಾವ್ ನಾಡಗೌಡ,Appaji Chanabasavaraj Shankarrao Nadgowda
425,15/07/2013,ಕಂದಾಯ,Revenue,ಆರಾಧನಾ ಯೋಜನೆ ಬಗ್ಗೆ,About the worship plan,ಬಣಕಾರ್ ಯು.ಬಿ.,Banakar UB
426,15/07/2013,ಭಾರೀ ಮತ್ತು ಮಧ್ಯಮ ನೀರಾವರಿ,Heavy and medium irrigation,"ಲೋಕಪಾವನಿ, ವೀರ ವೈಷ್ಣವಿ ನದಿಗಳ ಪುನಃಶ್ಚೇತನ","Lokapavani, the revival of Veera Vaishnavi rivers",ಚೆಲುವರಾಯಸ್ವಾಮಿ,Cheluvaraswamy
427,15/07/2013,ಭಾರೀ ಮತ್ತು ಮಧ್ಯಮ ನೀರಾವರಿ,Heavy and medium irrigation,ತುಂಗಭದ್ರ ಜಲಾಶಯದ ಹೂಳು ತೆಗೆಯುವುದು,Removal of Tungabhadra Reservoir,ಶಿವರಾಜ ಪಾಟೀಲ್ ಎಸ್.,Shivaraj Patil S 
428,15/07/2013,ಸಣ್ಣ ಕೈಗಾರಿಕೆ,Small industry,ಸಕ್ಕರೆ ಕಾರ್ಖಾನೆಗಳು ನೀಡಬೇಕಾಗಿರುವ ಬಾಕಿ,Pending sugar factories,ಈಶ್ವರ್ ಭೀಮಣ್ಣ ಖಂಡ್ರೆ,Ishwar Bhimanna Khandre
429,15/07/2013,ಅರಣ್ಯ,Forest,ಪ್ರಾಣಿಗಳ ರಕ್ಷಣೆ,Animal care,ಈಶ್ವರ್ ಭೀಮಣ್ಣ ಖಂಡ್ರೆ,Ishwar Bhimanna Khandre
430,15/07/2013,ಕಂದಾಯ,Revenue,ನಾಡ ಕಛೇರಿಗಳ ನಿರ್ವಹಣೆ,Management of Nad Offices,ಈಶ್ವರ್ ಭೀಮಣ್ಣ ಖಂಡ್ರೆ,Ishwar Bhimanna Khandre
431,15/07/2013,ಭಾರೀ ಮತ್ತು ಮಧ್ಯಮ ನೀರಾವರಿ,Heavy and medium irrigation,ಭಾಲ್ಕಿ ಕ್ಷೇತ್ರದ ನೀರಾವರಿ ಯೋಜನೆಗಳು,Bhalki sector irrigation projects,ಈಶ್ವರ್ ಭೀಮಣ್ಣ ಖಂಡ್ರೆ,Ishwar Bhimanna Khandre
432,15/07/2013,ಭಾರೀ ಮತ್ತು ಮಧ್ಯಮ ನೀರಾವರಿ,Heavy and medium irrigation,ಅರ್ಕಾವತಿ ನದಿಯನ್ನು ಥೇಮ್ಸ್ ನದಿಯ ಮಾದರಿಯಲ್ಲಿ ಪರಿವರ್ತಿಸುವುದು,Convert the Arkavati River to the Thames River,ಗೋಪಾಲಯ್ಯ,Gopalaiah
433,15/07/2013,ಕಂದಾಯ,Revenue,ಉತ್ತರ ಖಂಡ ರಾಜ್ಯದ ಕೇದಾರನಾಥ ಬದರಿ ಮುಂತಾದ ಕಡೆಗಳಲ್ಲಿ ಪ್ರವಾಹಕ್ಕೆ ಸಿಲುಕಿದ ಕನ್ನಡಿಗರು,Kannadigas flooded along the Kedarnath Badari in the northern state of Uttar Pradesh,ಗೋಪಾಲಯ್ಯ,Gopalaiah
434,15/07/2013,ಕಂದಾಯ,Revenue,ಸುಳ್ಳು ಜಾತಿ ಪ್ರಮಾಣ ಪತ್ರ,False caste certificate,ಗೋವಿಂದ ಎಂ. ಕಾರಜೋಳ,Govinda M  Carjola
435,15/07/2013,ಕಂದಾಯ,Revenue,ಸರ್ಕಾರಿ ಭೂಮಿ ಒತ್ತುವರಿ,Government land embargo,ಗುರುಪಾದಪ್ಪ ನಾಗಮಾರಪಲ್ಲಿ,Guruparappa Nagamarapally
436,15/07/2013,ಸಣ್ಣ ಕೈಗಾರಿಕೆ,Small industry,ಸಣ್ಣ ಕೈಗಾರಿಕೆಗಳ ಸ್ಥಾಪನೆ,Establishment of small industries,ಗುರುಪಾದಪ್ಪ ನಾಗಮಾರಪಲ್ಲಿ,Guruparappa Nagamarapally
437,15/07/2013,ಮುಜರಾಯಿ,Muzarai,ದೇವಾಲಯಗಳ ಅಭಿವೃದ್ಧಿ,Development of temples,ಗುರುಪಾದಪ್ಪ ನಾಗಮಾರಪಲ್ಲಿ,Guruparappa Nagamarapally
438,15/07/2013,ಅರಣ್ಯ,Forest,ಅರಣ್ಯ ಬೆಳೆಸುವುದು,Developing Forests,ಗುರುಪಾದಪ್ಪ ನಾಗಮಾರಪಲ್ಲಿ,Guruparappa Nagamarapally
439,15/07/2013,ಕಂದಾಯ,Revenue,ಆದಾಯ ಮತ್ತು ಜಾತಿ ಪ್ರಮಾಣ ಪತ್ರ ನೀಡಿಕೆಯಲ್ಲಿ ಸುಧಾರಣೆ,Improvement in Revenue and Caste Certificate Issuance,ಹ್ಯಾರಿಸ್ ಎನ್.ಎ.,Harris NA
440,15/07/2013,ಜವಳಿ,Textile,ನೇಕಾರರಿಗೆ ಬ್ಯಾಂಕ್ ಸಾಲ ಸೌಲಭ್ಯ ನೀಡಿಕೆ,Bank loan facility to weavers,ಹ್ಯಾರಿಸ್ ಎನ್.ಎ.,Harris NA
441,15/07/2013,ಅರಣ್ಯ,Forest,ಪರಿಸರ ಸಂರಕ್ಷಣೆಗಾಗಿ ಸರ್ಕಾರದ ಕ್ರಮಗಳು,Government measures for environment conservation,ಹ್ಯಾರಿಸ್ ಎನ್.ಎ.,Harris NA
442,15/07/2013,ಅರಣ್ಯ,Forest,ಅರಣ್ಯ ಸಂರಕ್ಷಣೆಗಾಗಿ ಸರ್ಕಾರದ ಕ್ರಮಗಳು,Government measures for forest conservation,ಹ್ಯಾರಿಸ್ ಎನ್.ಎ.,Harris NA
443,15/07/2013,ಅರಣ್ಯ,Forest,ಅರಣ್ಯ ಭೂವಲಯ ವಿವರ,Forest Landscape Profile,ಕೋಳಿವಾಡ ಕೆ.ಬಿ.,Kolivada kb
444,15/07/2013,ಕಂದಾಯ,Revenue,ನಲವಾಗಲು ಗ್ರಾಮ ಸ್ಥಳಾಂತರ,Transfer from village to village,ಕೋಳಿವಾಡ ಕೆ.ಬಿ.,Kolivada kb
445,15/07/2013,ಭಾರೀ ಮತ್ತು ಮಧ್ಯಮ ನೀರಾವರಿ,Heavy and medium irrigation,ನೀರಾವರಿ ವಂಚಿತರಾದ ರೈತರ ಜಮೀನು,Farmers Land Deprived of irrigation,ಕೋಳಿವಾಡ ಕೆ.ಬಿ.,Kolivada kb
446,15/07/2013,ಭಾರೀ ಮತ್ತು ಮಧ್ಯಮ ನೀರಾವರಿ,Heavy and medium irrigation,ತುಂಗಭದ್ರ ನದಿಗೆ ಬ್ಯಾರೇಜ್ ಗಳ ನಿರ್ಮಾಣ,Construction of barrels for the Tungabhadra river,ಕೋಳಿವಾಡ ಕೆ.ಬಿ.,Kolivada kb
447,15/07/2013,ಅರಣ್ಯ,Forest,ಅರಣ್ಯ ಪ್ರದೇಶದಲ್ಲಿ ಗಣಿಗಾರಿಕೆ,Mining in the forest area,ಮಲ್ಲಿಕಾರ್ಜುನ ಸಿದ್ದರಾಮಪ್ಪ ಖೂಬಾ,Mallikarjuna Siddarappa Khuba
448,15/07/2013,ಅರಣ್ಯ,Forest,ಅರಣ್ಯ ಇಲಾಖೆಗೆ ಬಾರದ ಹಣ,No money from the forest department,ಮಲ್ಲಿಕಾರ್ಜುನ ಸಿದ್ದರಾಮಪ್ಪ ಖೂಬಾ,Mallikarjuna Siddarappa Khuba
449,15/07/2013,ಕಂದಾಯ,Revenue,ಭೂಮಿ ಹಂಚಿಕೆ,Distribution of land,ಮಲ್ಲಿಕಾರ್ಜುನ ಸಿದ್ದರಾಮಪ್ಪ ಖೂಬಾ,Mallikarjuna Siddarappa Khuba
450,15/07/2013,ಸಣ್ಣ ಕೈಗಾರಿಕೆ,Small industry,ಸಣ್ಣ ಕೈಗಾರಿಕೆಗಳಿಗೆ ಸಹಾಯ ಧನ,Helping small industries,ಮಲ್ಲಿಕಾರ್ಜುನ ಸಿದ್ದರಾಮಪ್ಪ ಖೂಬಾ,Mallikarjuna Siddarappa Khuba
451,15/07/2013,ಸಣ್ಣ ಕೈಗಾರಿಕೆ,Small industry,ಸಣ್ಣ ಕೈಗಾರಿಕೆಗಳನ್ನು ಸ್ಥಾಪಿಸಲು ಭೂಮಿ ಮಂಜೂರಾತಿ,Land sanction to establish small industries,ಮಲ್ಲಿಕಾರ್ಜುನ ಸಿದ್ದರಾಮಪ್ಪ ಖೂಬಾ,Mallikarjuna Siddarappa Khuba
452,15/07/2013,ಮುಜರಾಯಿ,Muzarai,ಮುದಗಲ್ ಕೋಟೆ ಅಭಿವೃದ್ಧಿ,Mudgal fort develops,ಮಾನಪ್ಪ ಡಿ. ವಜ್ಜಲ್,Manappa D  Vajzal
453,15/07/2013,ಮುಜರಾಯಿ,Muzarai,ಅಮರೇಶ್ವರ ದೇವಸ್ಥಾನದ ಅಭಿವೃದ್ಧಿ,Development of Amareshwar Temple,ಮಾನಪ್ಪ ಡಿ. ವಜ್ಜಲ್,Manappa D  Vajzal
454,15/07/2013,ಕಂದಾಯ,Revenue,ನೌಕರರಿಗೆ ವಸತಿ ಗೃಹಗಳು,Real Estate for Employees,ಮಾನಪ್ಪ ಡಿ. ವಜ್ಜಲ್,Manappa D  Vajzal
455,15/07/2013,ಸಣ್ಣ ನೀರಾವರಿ,Small irrigation,ಕರಡಕಲ್ ಗ್ರಾಮದ ಅಭಿವೃದ್ಧಿ,Development of Karadakal Village,ಮಾನಪ್ಪ ಡಿ. ವಜ್ಜಲ್,Manappa D  Vajzal
456,15/07/2013,ಮುಜರಾಯಿ,Muzarai,ದೇವಾಲಯಗಳ ವಿವರ,Temple Details,ಮಂಜುನಾಥ ಜಿ.,Manjunath G 
457,15/07/2013,ಅರಣ್ಯ,Forest,ಸಾಮಾಜಿಕ ಹಾಗೂ ಪ್ರಾಥಮಿಕ ಅರಣ್ಯ ಭೂಮಿ ಒತ್ತುವರಿ,Social and primary forest land enclosure,ಮಂಜುನಾಥ ಜಿ.,Manjunath G 
458,15/07/2013,ಮುಜರಾಯಿ,Muzarai,ಗುಟ್ಟಹಳ್ಳಿ ಗ್ರಾಮೀಣ ದೇವಸ್ಥಾನಗಳು,Guttahalli Rural Temples,ಪಿಳ್ಳ ಮುನಿಶಾಮಪ್ಪ,Pillai Munisamappa
459,15/07/2013,ಸಣ್ಣ ಕೈಗಾರಿಕೆ,Small industry,ದೇವನಹಳ್ಳಿ - ವಿಜಯಪುರ ಪುರಸಭೆಗಳ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಸಣ್ಣ ಕೈಗಾರಿಕೆಗಳನ್ನು ಪ್ರಾರಂಭಿಸುವುದು,Devanahalli - The launch of small industries in the vicinity of Vijayapur municipalities,ಪಿಳ್ಳ ಮುನಿಶಾಮಪ್ಪ,Pillai Munisamappa
